county,BachelorsDegreePct,HighSchoolGradPct,PovertyRate,UnemploymentRate,Population,IsNCA,EducationGap
arkansas,0.15399138143128716,0.21086774514012385,15.4,2.7,16307.0,0,0.0568763637088367
ashley,0.06668553055525135,0.28520759319899247,18.4,5.6,18262.0,0,0.21852206264374113
baxter,0.04372860522448979,0.0808134216909621,16.0,3.6,42875.0,1,0.03708481646647231
benton,0.01177041891818027,0.009046196589853159,7.8,2.4,311013.0,0,-0.0027242223283271104
boone,0.04233148575136257,0.09250792491565014,14.9,3.1,38530.0,0,0.05017643916428757
bradley,0.15605161599366588,0.4468815718527316,23.2,4.6,10104.0,0,0.2908299558590657
calhoun,0.39008742663219137,0.9176281717302306,14.3,2.9,4641.0,0,0.5275407450980392
carroll,0.07329016877212467,0.12075135347400569,14.8,2.9,28814.0,0,0.047461184701881015
chicot,0.18062523558397986,0.41910464405535747,29.7,5.8,9538.0,0,0.2384794084713776
clark,0.11982151809720785,0.15373613481244713,18.9,4.7,21274.0,0,0.03391461671523928
clay,0.1100017455108795,0.313614702063235,17.5,4.1,14201.0,0,0.2036129565523555
cleburne,0.07180112513263902,0.15501226225191592,13.5,3.9,25445.0,1,0.0832111371192769
cleveland,0.22022101111412307,0.606679875847113,15.7,3.5,7378.0,0,0.38645886473298996
columbia,0.09201778559819412,0.18326635255079007,23.3,4.3,22150.0,0,0.09124856695259595
conway,0.08618685462826778,0.2061909833942212,17.1,3.8,21077.0,0,0.12000412876595343
craighead,0.024358181677822326,0.02838892739027835,16.1,2.7,113993.0,0,0.0040307457124560235
crawford,0.031188076101533343,0.05865138698679937,13.3,3.4,61891.0,0,0.02746331088526603
crittenden,0.03647754513248054,0.08011397405545302,20.6,4.2,47139.0,0,0.04363642892297248
cross,0.09034230164433617,0.2567315643118148,19.1,3.4,16420.0,0,0.16638926266747867
dallas,0.17999765513338722,0.7822163723524655,19.6,3.9,6185.0,0,0.6022187172190783
desha,0.12438959910296785,0.3921197687756466,25.0,4.6,10479.0,0,0.2677301696726787
drew,0.13768964207730894,0.22668482295662437,20.6,4.2,16945.0,0,0.08899518087931543
faulkner,0.025545737031650393,0.023393629090965054,12.9,2.9,129951.0,0,-0.002152107940685339
franklin,0.07534563579116098,0.23952529070299977,19.0,3.2,17468.0,0,0.16417965491183878
fulton,0.12657035786168586,0.32874133435311165,17.5,3.8,12421.0,1,0.2021709764914258
garland,0.026303318377695825,0.030966179357412013,18.9,3.7,99784.0,0,0.004662860979716188
grant,0.11385844600990044,0.22720382353261162,11.1,2.9,18383.0,0,0.11334537752271118
greene,0.03527580600303788,0.09112117422929636,16.2,3.3,46743.0,0,0.05584536822625848
hempstead,0.07545683720208861,0.20417502564235124,16.6,3.4,19343.0,0,0.12871818844026262
hot spring,0.04746054525227013,0.12333224872211196,16.9,3.5,33258.0,0,0.07587170346984183
howard,0.13307711202425598,0.34895986818798375,17.8,3.5,12533.0,0,0.21588275616372776
independence,0.04402670305323591,0.10283872327766178,13.5,3.4,38320.0,1,0.058812020224425866
izard,0.1320500272425718,0.2515462390429811,20.3,5.1,14169.0,1,0.11949621180040931
jackson,0.07897956684938036,0.2558500020853194,24.6,5.1,16784.0,1,0.17687043523593904
jefferson,0.032423573475126054,0.06455708909693533,24.3,4.6,63661.0,0,0.03213351562180928
johnson,0.06918507103218645,0.15763854889203566,17.1,4.4,26129.0,0,0.08845347785984921
lafayette,0.1511112976702215,0.7727116356029532,22.8,4.9,6095.0,0,0.6216003379327317
lawrence,0.08602362599583283,0.22520917986272826,18.3,3.4,16318.0,0,0.13918555386689543
lee,0.0837114721741251,0.581946017436898,38.7,5.2,8201.0,0,0.4982345452627729
lincoln,0.08432657140641961,0.3732993343929291,26.2,4.0,12898.0,0,0.28897276298650953
little river,0.14774394739517152,0.3688089589157137,17.7,3.5,11805.0,0,0.22106501152054217
logan,0.07265878939252336,0.2043662863084112,16.6,4.0,21400.0,0,0.13170749691588785
lonoke,0.02764433183661645,0.04874559557042031,9.6,2.7,75944.0,0,0.02110126373380386
madison,0.07222793558368495,0.2908867248945148,14.8,2.6,17775.0,0,0.21865878931082983
marion,0.08815218573712459,0.20639014228617103,17.4,4.1,17514.0,1,0.11823795654904644
miller,0.0378338904632795,0.09531559884474831,21.5,3.6,42415.0,0,0.057481708381468814
mississippi,0.0366714164963919,0.10983468323720352,24.9,4.9,38663.0,0,0.07316326674081162
monroe,0.24014447097665848,0.6243756243857493,26.3,3.9,6512.0,0,0.38423115340909086
montgomery,0.19542909883990717,0.42866017656612526,18.8,4.9,8620.0,0,0.2332310777262181
nevada,0.14372211268472906,0.6008199631773399,23.2,3.7,8120.0,0,0.4570978504926108
newton,0.20156862593692548,0.5441000091924764,18.8,3.4,7071.0,0,0.3425313832555509
ouachita,0.06926454150415272,0.19393485628412793,18.8,3.9,21793.0,0,0.12467031477997521
perry,0.16822274518853103,0.43412321327572667,14.1,3.6,10184.0,0,0.26590046808719564
phillips,0.09713393884098656,0.22457417913241096,34.2,6.5,14961.0,0,0.1274402402914244
pike,0.19161447531347964,0.3611249015478057,18.2,3.5,10208.0,0,0.16951042623432605
poinsett,0.05324348519891057,0.20526042456579008,19.1,3.3,22397.0,0,0.15201693936687952
polk,0.08850545137888455,0.184342040954929,18.8,3.6,19436.0,0,0.09583658957604446
pope,0.0381405795984085,0.054189168547675456,13.5,3.9,64593.0,0,0.01604858894926696
prairie,0.20788951406172226,0.5464704178695868,15.4,3.1,8036.0,0,0.33858090380786454
pulaski,0.009340053121304771,0.006281534122982233,15.7,3.2,400009.0,0,-0.003058518998322538
randolph,0.07658085476278627,0.21450918342412864,18.5,3.5,18907.0,0,0.13792832866134236
saline,0.021994847716362852,0.025271750474632256,9.3,2.7,129574.0,0,0.003276902758269404
scott,0.10991803349913716,0.43805569221398843,19.5,3.0,9851.0,0,0.3281376587148513
searcy,0.17536011068408913,0.4674038574173712,20.2,4.3,7806.0,1,0.2920437467332821
sebastian,0.01888723926009698,0.023431827177802907,12.8,3.4,129098.0,0,0.004544587917705928
sevier,0.06991658316274309,0.21008300307062436,18.7,3.8,15632.0,0,0.14016641990788126
sharp,0.06638733414959928,0.22574312438780053,19.7,3.9,17968.0,1,0.15935579023820123
st. francis,0.058383899506809646,0.19990109044839602,34.3,5.0,22101.0,0,0.14151719094158638
stone,0.12140266885013022,0.29469936603267305,17.7,4.1,12671.0,1,0.1732966971825428
union,0.05059050578923443,0.10720126135786293,19.0,4.6,37397.0,0,0.0566107555686285
van buren,0.09776123844628917,0.27322077462520133,16.5,4.0,16142.0,1,0.17545953617891216
washington,0.013234341813579865,0.010822200413689214,13.5,2.3,261549.0,0,-0.0024121413998906514
white,0.025242149505430075,0.05176254085300566,15.7,3.5,78452.0,1,0.026520391347575587
woodruff,0.26644618913480883,0.7739627399396378,24.4,3.6,5964.0,1,0.5075165508048289
yell,0.07143235387148274,0.19812506680303332,16.5,3.7,20044.0,0,0.1266927129315506
