County,BachelorsDegreePct,HighSchoolGradPct,PovertyRate,UnemploymentRate,EducationGap,VulnerabilityScore,ClusterLabel,ClusterLabelName,PredictedClusterLabel,PredictedClusterMatch,ClusterMatch
nevada,0.14372211268472906,0.6008199631773399,23.2,3.7,0.4570978504926108,2,1,Moderate Risk / Moderate Education,1,1,Match
newton,0.20156862593692548,0.5441000091924764,18.8,3.4,0.3425313832555509,1,1,Moderate Risk / Moderate Education,1,1,Match
ouachita,0.06926454150415272,0.19393485628412793,18.8,3.9,0.12467031477997521,2,0,High Poverty / Low Degree,0,1,Match
perry,0.16822274518853103,0.43412321327572667,14.1,3.6,0.26590046808719564,1,1,Moderate Risk / Moderate Education,1,1,Match
phillips,0.09713393884098656,0.22457417913241096,34.2,6.5,0.1274402402914244,3,2,Low Poverty / Low Education,2,1,Match
pike,0.19161447531347964,0.3611249015478057,18.2,3.5,0.16951042623432605,1,0,High Poverty / Low Degree,0,1,Match
poinsett,0.05324348519891057,0.20526042456579008,19.1,3.3,0.15201693936687952,2,0,High Poverty / Low Degree,0,1,Match
polk,0.08850545137888455,0.184342040954929,18.8,3.6,0.09583658957604446,1,0,High Poverty / Low Degree,0,1,Match
pope,0.0381405795984085,0.054189168547675456,13.5,3.9,0.01604858894926696,2,0,High Poverty / Low Degree,0,1,Match
prairie,0.20788951406172226,0.5464704178695868,15.4,3.1,0.33858090380786454,1,1,Moderate Risk / Moderate Education,1,1,Match
pulaski,0.009340053121304771,0.006281534122982233,15.7,3.2,-0.003058518998322538,2,0,High Poverty / Low Degree,0,1,Match
randolph,0.07658085476278627,0.21450918342412864,18.5,3.5,0.13792832866134236,1,0,High Poverty / Low Degree,0,1,Match
saline,0.021994847716362852,0.025271750474632256,9.3,2.7,0.003276902758269404,2,0,High Poverty / Low Degree,0,1,Match
scott,0.10991803349913716,0.43805569221398843,19.5,3.0,0.3281376587148513,1,1,Moderate Risk / Moderate Education,1,1,Match
searcy,0.17536011068408913,0.4674038574173712,20.2,4.3,0.2920437467332821,2,2,Low Poverty / Low Education,2,1,Match
sebastian,0.01888723926009698,0.023431827177802907,12.8,3.4,0.004544587917705928,2,0,High Poverty / Low Degree,0,1,Match
sevier,0.06991658316274309,0.21008300307062436,18.7,3.8,0.14016641990788126,1,0,High Poverty / Low Degree,0,1,Match
sharp,0.06638733414959928,0.22574312438780053,19.7,3.9,0.15935579023820123,1,0,High Poverty / Low Degree,0,1,Match
st. francis,0.058383899506809646,0.19990109044839602,34.3,5.0,0.14151719094158638,3,2,Low Poverty / Low Education,2,1,Match
stone,0.12140266885013022,0.29469936603267305,17.7,4.1,0.1732966971825428,1,0,High Poverty / Low Degree,0,1,Match
union,0.05059050578923443,0.10720126135786293,19.0,4.6,0.0566107555686285,2,0,High Poverty / Low Degree,0,1,Match
van buren,0.09776123844628917,0.27322077462520133,16.5,4.0,0.17545953617891216,1,0,High Poverty / Low Degree,0,1,Match
washington,0.013234341813579865,0.010822200413689214,13.5,2.3,-0.0024121413998906514,2,0,High Poverty / Low Degree,0,1,Match
white,0.025242149505430075,0.05176254085300566,15.7,3.5,0.026520391347575587,2,0,High Poverty / Low Degree,0,1,Match
woodruff,0.26644618913480883,0.7739627399396378,24.4,3.6,0.5075165508048289,2,1,Moderate Risk / Moderate Education,1,1,Match
yell,0.07143235387148274,0.19812506680303332,16.5,3.7,0.1266927129315506,2,0,High Poverty / Low Degree,0,1,Match
