county,BachelorsDegreePct,HighSchoolGradPct,PovertyRate,UnemploymentRate,Population
Arkansas,0.15399138143128716,0.21086774514012385,15.4,2.7,16307.0
Ashley,0.06668553055525135,0.28520759319899247,18.4,5.6,18262.0
Baxter,0.04372860522448979,0.0808134216909621,16.0,3.6,42875.0
Benton,0.01177041891818027,0.009046196589853159,7.8,2.4,311013.0
Boone,0.04233148575136257,0.09250792491565014,14.9,3.1,38530.0
