FIPS_Code,State,Area_Name,Attribute,Value
5001,AR,"Arkansas County, AR",Civilian_labor_force_2001,10312
5001,AR,"Arkansas County, AR",Employed_2001,9845
5001,AR,"Arkansas County, AR",Unemployed_2001,467
5001,AR,"Arkansas County, AR",Unemployment_rate_2001,4.5
5001,AR,"Arkansas County, AR",Civilian_labor_force_2002,10540
5001,AR,"Arkansas County, AR",Employed_2002,9903
5001,AR,"Arkansas County, AR",Unemployed_2002,637
5001,AR,"Arkansas County, AR",Unemployment_rate_2002,6
5001,AR,"Arkansas County, AR",Civilian_labor_force_2003,10808
5001,AR,"Arkansas County, AR",Employed_2003,10223
5001,AR,"Arkansas County, AR",Unemployed_2003,585
5001,AR,"Arkansas County, AR",Unemployment_rate_2003,5.4
5001,AR,"Arkansas County, AR",Civilian_labor_force_2004,10862
5001,AR,"Arkansas County, AR",Employed_2004,10224
5001,AR,"Arkansas County, AR",Unemployed_2004,638
5001,AR,"Arkansas County, AR",Unemployment_rate_2004,5.9
5001,AR,"Arkansas County, AR",Civilian_labor_force_2005,11222
5001,AR,"Arkansas County, AR",Employed_2005,10428
5001,AR,"Arkansas County, AR",Unemployed_2005,794
5001,AR,"Arkansas County, AR",Unemployment_rate_2005,7.1
5001,AR,"Arkansas County, AR",Civilian_labor_force_2006,11590
5001,AR,"Arkansas County, AR",Employed_2006,10701
5001,AR,"Arkansas County, AR",Unemployed_2006,889
5001,AR,"Arkansas County, AR",Unemployment_rate_2006,7.7
5001,AR,"Arkansas County, AR",Civilian_labor_force_2007,11833
5001,AR,"Arkansas County, AR",Employed_2007,10784
5001,AR,"Arkansas County, AR",Unemployed_2007,1049
5001,AR,"Arkansas County, AR",Unemployment_rate_2007,8.9
5001,AR,"Arkansas County, AR",Civilian_labor_force_2008,11999
5001,AR,"Arkansas County, AR",Employed_2008,10835
5001,AR,"Arkansas County, AR",Unemployed_2008,1164
5001,AR,"Arkansas County, AR",Unemployment_rate_2008,9.7
5001,AR,"Arkansas County, AR",Civilian_labor_force_2009,12240
5001,AR,"Arkansas County, AR",Employed_2009,10347
5001,AR,"Arkansas County, AR",Unemployed_2009,1893
5001,AR,"Arkansas County, AR",Unemployment_rate_2009,15.5
5001,AR,"Arkansas County, AR",Civilian_labor_force_2010,11273
5001,AR,"Arkansas County, AR",Employed_2010,9251
5001,AR,"Arkansas County, AR",Unemployed_2010,2022
5001,AR,"Arkansas County, AR",Unemployment_rate_2010,17.9
5001,AR,"Arkansas County, AR",Civilian_labor_force_2011,10509
5001,AR,"Arkansas County, AR",Employed_2011,9286
5001,AR,"Arkansas County, AR",Unemployed_2011,1223
5001,AR,"Arkansas County, AR",Unemployment_rate_2011,11.6
5001,AR,"Arkansas County, AR",Civilian_labor_force_2012,9958
5001,AR,"Arkansas County, AR",Employed_2012,9120
5001,AR,"Arkansas County, AR",Unemployed_2012,838
5001,AR,"Arkansas County, AR",Unemployment_rate_2012,8.4
5001,AR,"Arkansas County, AR",Civilian_labor_force_2013,9647
5001,AR,"Arkansas County, AR",Employed_2013,8959
5001,AR,"Arkansas County, AR",Unemployed_2013,688
5001,AR,"Arkansas County, AR",Unemployment_rate_2013,7.1
5001,AR,"Arkansas County, AR",Civilian_labor_force_2014,9545
5001,AR,"Arkansas County, AR",Employed_2014,9045
5001,AR,"Arkansas County, AR",Unemployed_2014,500
5001,AR,"Arkansas County, AR",Unemployment_rate_2014,5.2
5001,AR,"Arkansas County, AR",Civilian_labor_force_2015,9534
5001,AR,"Arkansas County, AR",Employed_2015,9142
5001,AR,"Arkansas County, AR",Unemployed_2015,392
5001,AR,"Arkansas County, AR",Unemployment_rate_2015,4.1
5001,AR,"Arkansas County, AR",Civilian_labor_force_2016,9284
5001,AR,"Arkansas County, AR",Employed_2016,8967
5001,AR,"Arkansas County, AR",Unemployed_2016,317
5001,AR,"Arkansas County, AR",Unemployment_rate_2016,3.4
5001,AR,"Arkansas County, AR",Civilian_labor_force_2017,8967
5001,AR,"Arkansas County, AR",Employed_2017,8673
5001,AR,"Arkansas County, AR",Unemployed_2017,294
5001,AR,"Arkansas County, AR",Unemployment_rate_2017,3.3
5001,AR,"Arkansas County, AR",Civilian_labor_force_2018,9016
5001,AR,"Arkansas County, AR",Employed_2018,8717
5001,AR,"Arkansas County, AR",Unemployed_2018,299
5001,AR,"Arkansas County, AR",Unemployment_rate_2018,3.3
5001,AR,"Arkansas County, AR",Civilian_labor_force_2019,9393
5001,AR,"Arkansas County, AR",Employed_2019,9116
5001,AR,"Arkansas County, AR",Unemployed_2019,277
5001,AR,"Arkansas County, AR",Unemployment_rate_2019,2.9
5001,AR,"Arkansas County, AR",Civilian_labor_force_2020,9269
5001,AR,"Arkansas County, AR",Employed_2020,8891
5001,AR,"Arkansas County, AR",Unemployed_2020,378
5001,AR,"Arkansas County, AR",Unemployment_rate_2020,4.1
5001,AR,"Arkansas County, AR",Civilian_labor_force_2021,9251
5001,AR,"Arkansas County, AR",Employed_2021,8934
5001,AR,"Arkansas County, AR",Unemployed_2021,317
