county,2013 rural-urban continuum code,2013 urban influence code,2023 rural-urban continuum code,2024 urban influence code,"bachelor's degree or higher, 1990","bachelor's degree or higher, 2000","bachelor's degree or higher, 2008-12","bachelor's degree or higher, 2019-23","four years of college or higher, 1970","four years of college or higher, 1980","high school diploma only, 1970","high school diploma only, 1980","high school graduate (or equivalency), 1990","high school graduate (or equivalency), 2000","high school graduate (or equivalency), 2008-12","high school graduate (or equivalency), 2019-23","less than a high school diploma, 1970","less than a high school diploma, 1980","less than high school graduate, 1990","less than high school graduate, 2000","less than high school graduate, 2008-12","less than high school graduate, 2019-23","percent of adults completing four years of college or higher, 1970","percent of adults completing four years of college or higher, 1980","percent of adults completing some college (1-3 years), 1970","percent of adults completing some college (1-3 years), 1980","percent of adults completing some college or associate degree, 1990","percent of adults completing some college or associate degree, 2000","percent of adults completing some college or associate degree, 2008-12","percent of adults completing some college or associate degree, 2019-23","percent of adults who are high school graduates (or equivalent), 1990","percent of adults who are high school graduates (or equivalent), 2000","percent of adults who are high school graduates (or equivalent), 2008-12","percent of adults who are high school graduates (or equivalent), 2019-23","percent of adults who are not high school graduates, 1990","percent of adults who are not high school graduates, 2000","percent of adults who are not high school graduates, 2008-12","percent of adults who are not high school graduates, 2019-23","percent of adults with a bachelor's degree or higher, 1990","percent of adults with a bachelor's degree or higher, 2000","percent of adults with a bachelor's degree or higher, 2008-12","percent of adults with a bachelor's degree or higher, 2019-23","percent of adults with a high school diploma only, 1970","percent of adults with a high school diploma only, 1980","percent of adults with less than a high school diploma, 1970","percent of adults with less than a high school diploma, 1980","some college (1-3 years), 1970","some college (1-3 years), 1980","some college or associate degree, 1990","some college or associate degree, 2000","some college or associate degree, 2008-12","some college or associate degree, 2019-23",medhhinc_2023,pctpov017_2023,pctpov04_2023,pctpovall_2023,pov017_2023,pov04_2023,povall_2023,rural_urban_continuum_code_2023_x,civilian_labor_force_2023,employed_2023,metro_2023,rural_urban_continuum_code_2023_y,unemployed_2023,unemployment_rate_2023,births_2023,deaths_2023,domestic_mig_2023,gq_estimates_2023,international_mig_2023,n_pop_chg_2023,natural_chg_2023,net_mig_2023,pop_estimate_2023,r_birth_2023,r_death_2023,r_domestic_mig_2023,r_international_mig_2023,r_natural_chg_2023,r_net_mig_2023,residual_2023,rural_urban_continuum_code_2023
desha,6.0,6.0,9.0,9.0,1032.0,1060.0,1101.0,978.0,518.0,935.0,1904.0,3024.0,3027.0,3443.0,3423.0,3083.0,6532.0,5710.0,4326.0,3351.0,2094.0,1659.0,5.4,8.8,6.1,8.9,15.8,18.0,23.225058,23.7638278,30.4,36.0,39.7099768,41.09023057,43.5,35.0,24.29234339,22.11115554,10.4,11.1,12.77262181,13.03478609,20.0,28.5,68.5,53.8,582.0,950.0,1568.0,1720.0,2002.0,1783.0,43469.0,35.6,,25.0,904.0,,2598.0,9.0,4888.0,4663.0,0.0,9.0,225.0,4.6,113.0,164.0,-235.0,42.0,9.0,-279.0,-51.0,-226.0,10479.0,10.6,15.4,-22.1,0.8,-4.8,-21.3,-2.0,9.0
drew,6.0,6.0,7.0,8.0,1443.0,1994.0,2451.0,2559.0,682.0,1272.0,1424.0,2784.0,3533.0,3966.0,4263.0,4213.0,5127.0,4791.0,3843.0,3113.0,2044.0,1411.0,8.7,12.8,7.8,10.6,15.2,21.5,25.74190266,25.3920496,34.0,34.3,36.14549771,38.41174325,36.9,26.9,17.33084619,12.8646973,13.9,17.3,20.78175343,23.33150985,18.2,28.1,65.4,48.4,609.0,1054.0,1586.0,2480.0,3036.0,2785.0,48746.0,27.8,,20.6,995.0,,3365.0,7.0,7369.0,7063.0,0.0,7.0,306.0,4.2,193.0,226.0,56.0,590.0,9.0,33.0,-33.0,65.0,16945.0,11.4,13.4,3.3,0.5,-1.9,3.8,1.0,7.0
faulkner,2.0,2.0,2.0,4.0,6235.0,12820.0,17837.0,26043.0,1662.0,3543.0,4477.0,8298.0,11278.0,15914.0,21721.0,23849.0,8131.0,9306.0,9615.0,8468.0,7628.0,4955.0,10.5,14.5,9.6,13.5,22.0,26.8,30.76053941,30.08667941,32.4,31.3,31.87280811,30.40025494,27.6,16.7,11.19312096,6.31612492,17.9,25.2,26.17353153,33.19694073,28.4,33.9,51.5,38.1,1511.0,3309.0,7666.0,13647.0,20963.0,23603.0,68543.0,15.4,,12.9,4433.0,,16042.0,2.0,64394.0,62538.0,1.0,2.0,1856.0,2.9,1468.0,1117.0,1892.0,5105.0,145.0,2386.0,351.0,2037.0,129951.0,11.4,8.7,14.7,1.1,2.7,15.8,-2.0,2.0
franklin,6.0,6.0,8.0,6.0,848.0,1285.0,1520.0,1592.0,279.0,542.0,1742.0,3086.0,3304.0,4121.0,4826.0,5061.0,4324.0,4313.0,3850.0,3369.0,2051.0,1564.0,4.2,6.1,4.6,10.0,17.0,24.7,31.10436495,32.06845238,34.3,35.4,39.59632425,41.84027778,39.9,28.9,16.82802757,12.92989418,8.8,11.0,12.47128323,13.16137566,26.2,35.0,65.0,48.9,305.0,887.0,1636.0,2879.0,3791.0,3879.0,54077.0,23.7,,19.0,912.0,,3260.0,8.0,7434.0,7195.0,0.0,8.0,239.0,3.2,188.0,258.0,270.0,277.0,0.0,198.0,-70.0,270.0,17468.0,10.8,14.9,15.5,0.0,-4.0,15.5,-2.0,8.0
fulton,9.0,9.0,9.0,9.0,373.0,864.0,922.0,1408.0,173.0,347.0,910.0,2265.0,2532.0,3216.0,3932.0,3657.0,3521.0,3338.0,3142.0,2295.0,1519.0,1099.0,3.6,5.3,4.6,8.5,13.1,22.7,28.49769999,31.17463153,36.4,39.0,44.11533715,40.83296114,45.1,27.8,17.04252216,12.27110317,5.4,10.5,10.3444407,15.72130415,18.9,34.8,73.0,51.3,221.0,552.0,913.0,1868.0,2540.0,2792.0,46346.0,24.9,,17.5,642.0,,2136.0,9.0,4523.0,4349.0,0.0,9.0,174.0,3.8,117.0,235.0,184.0,162.0,-1.0,66.0,-118.0,183.0,12421.0,9.4,19.0,14.9,-0.1,-9.5,14.8,1.0,9.0
garland,3.0,2.0,3.0,4.0,7375.0,11263.0,13974.0,19140.0,2249.0,5245.0,9900.0,16188.0,16498.0,20538.0,22294.0,22533.0,18595.0,18584.0,15479.0,13609.0,9572.0,6640.0,6.7,11.3,8.9,13.6,24.2,27.6,33.07540696,33.7488344,31.8,32.8,32.54836119,30.89929241,29.8,21.7,13.97474268,9.105369974,14.2,18.0,20.40148916,26.24650321,29.3,35.0,55.1,40.1,3007.0,6276.0,12549.0,17284.0,22655.0,24611.0,53849.0,29.4,,18.9,5631.0,,18604.0,3.0,41570.0,40036.0,1.0,3.0,1534.0,3.7,970.0,1535.0,295.0,1652.0,74.0,-198.0,-565.0,369.0,99784.0,9.7,15.4,3.0,0.7,-5.7,3.7,-2.0,3.0
grant,2.0,2.0,2.0,4.0,836.0,1195.0,2054.0,2663.0,204.0,568.0,1437.0,2959.0,3798.0,4576.0,4925.0,5314.0,3651.0,3599.0,2800.0,2470.0,1915.0,1131.0,3.7,7.3,4.7,7.8,17.3,23.9,26.45940136,28.41311012,42.3,42.3,40.7226724,41.76687888,31.1,22.8,15.834298,8.889412874,9.3,11.0,16.98362825,20.93059813,25.9,38.3,65.7,46.6,261.0,604.0,1555.0,2583.0,3200.0,3615.0,64306.0,13.6,,11.1,544.0,,2018.0,2.0,8608.0,8362.0,1.0,2.0,246.0,2.9,184.0,258.0,324.0,152.0,7.0,254.0,-74.0,331.0,18383.0,10.1,14.1,17.7,0.4,-4.1,18.1,-3.0,2.0
greene,4.0,5.0,4.0,5.0,1886.0,2670.0,3481.0,5150.0,635.0,1359.0,2894.0,5598.0,7319.0,9940.0,12051.0,13303.0,10259.0,10228.0,8612.0,6848.0,4961.0,3936.0,4.4,7.3,4.3,7.2,14.1,20.6,26.403304,28.31620401,35.3,40.6,43.27886515,42.59277047,41.5,27.9,17.81648411,12.60205552,9.1,10.9,12.50134674,16.48897,20.1,30.2,71.2,55.2,612.0,1338.0,2926.0,5052.0,7352.0,8844.0,55444.0,19.1,,16.2,2065.0,,7390.0,4.0,19693.0,19041.0,0.0,4.0,652.0,3.3,526.0,562.0,361.0,849.0,6.0,335.0,-36.0,367.0,46743.0,11.3,12.1,7.8,0.1,-0.8,7.9,4.0,4.0
hempstead,6.0,6.0,6.0,6.0,1288.0,1631.0,2182.0,1931.0,523.0,1254.0,3008.0,5492.0,5138.0,5699.0,5213.0,5225.0,7229.0,6244.0,5271.0,4584.0,3035.0,2192.0,4.6,8.8,5.8,9.0,15.7,19.9,28.64961007,29.34240363,37.0,38.3,35.6615132,39.49357521,38.0,30.8,20.76207416,16.56840514,9.3,11.0,14.92680257,14.59561602,26.3,38.5,63.3,43.8,664.0,1280.0,2184.0,2955.0,4188.0,3882.0,50576.0,25.8,,16.6,1249.0,,3171.0,6.0,9141.0,8833.0,0.0,6.0,308.0,3.4,214.0,281.0,-91.0,293.0,17.0,-138.0,-67.0,-74.0,19343.0,11.0,14.5,-4.7,0.9,-3.5,-3.8,3.0,6.0
hot spring,6.0,5.0,6.0,5.0,1549.0,2267.0,2892.0,3787.0,543.0,1330.0,3453.0,5925.0,6826.0,8036.0,9064.0,9841.0,7965.0,7492.0,6110.0,5419.0,3860.0,2544.0,4.3,8.2,5.2,9.5,15.8,22.4,29.94330262,32.59419807,39.7,39.7,40.14883062,41.01783928,35.5,26.7,17.09780298,10.60353451,9.0,11.2,12.81006378,15.78442814,27.4,36.4,63.1,46.0,652.0,1546.0,2714.0,4538.0,6760.0,7820.0,53767.0,21.7,,16.9,1346.0,,5155.0,6.0,13704.0,13218.0,0.0,6.0,486.0,3.5,304.0,475.0,279.0,2577.0,-1.0,109.0,-171.0,278.0,33258.0,9.2,14.3,8.4,0.0,-5.2,8.4,2.0,6.0
howard,6.0,6.0,8.0,6.0,707.0,1078.0,1016.0,1403.0,326.0,580.0,1667.0,2700.0,3278.0,3510.0,3567.0,3679.0,4556.0,4235.0,3271.0,2713.0,2164.0,893.0,4.7,7.1,5.8,7.9,15.3,21.2,25.17467007,28.97051831,38.3,37.9,39.55861151,43.73514028,38.2,29.3,23.99911279,10.61578697,8.3,11.6,11.26760563,16.67855445,24.0,33.1,65.6,51.9,401.0,642.0,1311.0,1970.0,2270.0,2437.0,47308.0,22.5,,17.8,714.0,,2190.0,8.0,5246.0,5065.0,0.0,8.0,181.0,3.5,139.0,175.0,-58.0,172.0,4.0,-89.0,-36.0,-54.0,12533.0,11.1,13.9,-4.6,0.3,-2.9,-4.3,1.0,8.0
independence,7.0,8.0,7.0,7.0,2078.0,3118.0,3264.0,4279.0,620.0,1480.0,3291.0,5979.0,7116.0,9021.0,9707.0,9995.0,8823.0,9016.0,7416.0,5562.0,4517.0,3172.0,4.6,8.2,6.3,9.0,17.5,22.0,28.94811685,31.21476166,35.4,39.7,39.43850811,39.40779876,36.9,24.5,18.35209036,12.50640697,10.3,13.7,13.26128469,16.87103261,24.2,33.0,64.9,49.8,863.0,1632.0,3513.0,5004.0,7125.0,7917.0,59695.0,18.1,,13.5,1633.0,,5006.0,7.0,16834.0,16260.0,0.0,7.0,574.0,3.4,474.0,487.0,78.0,1183.0,2.0,66.0,-13.0,80.0,38320.0,12.4,12.7,2.0,0.1,-0.3,2.1,-1.0,7.0
izard,9.0,10.0,9.0,9.0,771.0,1112.0,1162.0,1967.0,158.0,646.0,959.0,2450.0,2920.0,3477.0,4045.0,3747.0,3470.0,3661.0,3180.0,2540.0,1994.0,1601.0,3.3,8.6,3.8,9.8,16.0,25.1,29.1519087,30.41948064,35.7,36.5,39.79732389,35.64158661,38.9,26.7,19.61826053,15.22876439,9.4,11.7,11.43250689,18.71016836,20.1,32.7,72.8,48.9,179.0,734.0,1309.0,2395.0,2963.0,3198.0,47320.0,23.9,,20.3,598.0,,2637.0,9.0,4476.0,4248.0,0.0,9.0,228.0,5.1,113.0,238.0,266.0,1210.0,-2.0,140.0,-125.0,264.0,14169.0,8.0,16.9,18.9,-0.1,-8.9,18.7,1.0,9.0
jackson,6.0,6.0,6.0,6.0,842.0,1258.0,1195.0,1587.0,495.0,1040.0,2273.0,3436.0,4191.0,4679.0,5517.0,5141.0,8274.0,7624.0,6117.0,4144.0,3118.0,1943.0,4.3,8.0,4.4,6.7,11.9,17.4,22.00269777,27.57266956,33.1,38.3,43.7752916,42.94186435,48.4,34.0,24.74014124,16.22953558,6.7,10.3,9.481869396,13.2559305,19.7,26.5,71.6,58.8,510.0,871.0,1501.0,2123.0,2773.0,3301.0,45762.0,32.0,,24.6,1045.0,,3513.0,6.0,5385.0,5110.0,0.0,6.0,275.0,5.1,157.0,252.0,217.0,2498.0,7.0,130.0,-95.0,224.0,16784.0,9.4,15.1,13.0,0.4,-5.7,13.4,1.0,6.0
jefferson,3.0,2.0,4.0,5.0,7560.0,8333.0,8852.0,9278.0,3279.0,5994.0,12191.0,17133.0,17284.0,18500.0,18647.0,18473.0,24161.0,21300.0,17637.0,13377.0,8610.0,5139.0,7.6,11.9,8.0,11.6,17.9,24.3,28.04678782,26.82818305,33.4,34.8,37.15726128,41.09768849,34.1,25.2,17.15686275,11.43295735,14.6,15.7,17.63908816,20.64117111,28.3,34.1,56.1,42.4,3469.0,5802.0,9260.0,12922.0,14075.0,12059.0,49581.0,32.0,,24.3,4291.0,,14081.0,4.0,25365.0,24195.0,0.0,4.0,1170.0,4.6,723.0,916.0,-524.0,5488.0,83.0,-634.0,-193.0,-441.0,63661.0,11.3,14.3,-8.2,1.3,-3.0,-6.9,0.0,4.0
johnson,7.0,9.0,7.0,8.0,1409.0,1957.0,2581.0,3131.0,436.0,932.0,1656.0,3089.0,4039.0,5463.0,6658.0,7134.0,5539.0,5568.0,4313.0,4824.0,3723.0,2788.0,5.3,8.7,7.7,10.1,17.0,17.8,21.38048159,24.63625866,34.3,36.7,40.38333232,41.18937644,36.7,32.4,22.58142779,16.09699769,12.0,13.1,15.65475829,18.07736721,20.0,29.0,67.0,52.2,633.0,1077.0,2006.0,2657.0,3525.0,4267.0,50387.0,19.6,,17.1,1213.0,,4377.0,7.0,9849.0,9419.0,0.0,7.0,430.0,4.4,296.0,334.0,177.0,541.0,20.0,159.0,-38.0,197.0,26129.0,11.4,12.8,6.8,0.8,-1.5,7.6,0.0,7.0
lafayette,8.0,7.0,8.0,6.0,420.0,543.0,618.0,414.0,205.0,341.0,1243.0,1745.0,1882.0,2048.0,2242.0,2117.0,3769.0,3537.0,2953.0,1976.0,1240.0,826.0,3.7,5.7,5.3,6.5,13.8,19.8,20.51182629,25.31701891,30.9,36.0,43.46645987,47.09677419,48.4,34.7,24.04032571,18.3759733,6.9,9.5,11.98138813,9.210233593,22.6,29.0,68.4,58.8,293.0,388.0,843.0,1125.0,1058.0,1138.0,43824.0,30.6,,22.8,341.0,,1372.0,8.0,2201.0,2094.0,0.0,8.0,107.0,4.9,42.0,106.0,3.0,59.0,28.0,-34.0,-64.0,31.0,6095.0,6.9,17.3,0.5,4.6,-10.5,5.1,-1.0,8.0
lawrence,6.0,6.0,6.0,6.0,698.0,1004.0,1073.0,1534.0,406.0,618.0,1845.0,3233.0,4045.0,4342.0,5073.0,4016.0,6811.0,6645.0,5356.0,4345.0,2765.0,1925.0,4.3,5.5,4.0,6.8,12.0,18.0,24.02591866,31.5977306,35.3,36.7,43.25176912,36.74963397,46.7,36.7,23.57404723,17.61530015,6.1,8.5,9.148264984,14.03733529,19.5,28.7,72.1,59.0,380.0,760.0,1371.0,2133.0,2818.0,3453.0,49015.0,24.5,,18.3,868.0,,2882.0,6.0,6764.0,6537.0,0.0,6.0,227.0,3.4,192.0,239.0,164.0,549.0,9.0,124.0,-47.0,173.0,16318.0,11.8,14.7,10.1,0.6,-2.9,10.6,-2.0,6.0
lee,7.0,9.0,8.0,3.0,564.0,577.0,456.0,415.0,411.0,584.0,1067.0,1463.0,1710.0,2346.0,2976.0,2885.0,7120.0,5613.0,4258.0,3469.0,2070.0,1053.0,4.6,7.1,3.8,7.1,14.3,19.3,22.49612621,27.99007444,22.4,29.6,41.92139738,47.72539289,55.8,43.8,29.15903648,17.41935484,7.4,7.3,6.423439921,6.865177833,11.9,17.7,79.7,68.1,337.0,583.0,1093.0,1532.0,1597.0,1692.0,36735.0,46.1,,38.7,651.0,,2507.0,8.0,2547.0,2415.0,0.0,8.0,132.0,5.2,82.0,139.0,-118.0,1709.0,11.0,-166.0,-57.0,-107.0,8201.0,9.9,16.8,-14.2,1.3,-6.9,-12.9,-2.0,8.0
lincoln,3.0,2.0,9.0,9.0,508.0,729.0,900.0,1066.0,162.0,444.0,1251.0,2279.0,3136.0,3600.0,3931.0,4719.0,4991.0,4551.0,3750.0,3337.0,2764.0,1641.0,2.4,5.7,3.8,6.7,18.2,19.6,22.62632437,24.2322212,34.7,37.8,40.04686227,48.14814815,41.5,35.0,28.15810921,16.74318947,5.6,7.6,9.168704156,10.87644118,18.8,29.2,75.0,58.4,250.0,524.0,1646.0,1867.0,2221.0,2375.0,53381.0,24.8,,26.2,488.0,,2327.0,9.0,3657.0,3511.0,0.0,9.0,146.0,4.0,100.0,170.0,59.0,4001.0,-2.0,-12.0,-70.0,57.0,12898.0,7.7,13.2,4.6,-0.2,-5.4,4.4,1.0,9.0
little river,3.0,2.0,3.0,4.0,708.0,893.0,995.0,1475.0,305.0,607.0,1478.0,2598.0,3204.0,3438.0,3522.0,3682.0,3819.0,3773.0,3082.0,2392.0,1455.0,760.0,5.1,7.7,6.0,11.6,19.7,25.4,34.71797114,30.03429112,36.8,38.2,38.50021863,43.5378976,35.4,26.6,15.90511587,8.986638288,8.1,9.9,10.87669436,17.44117299,24.8,32.9,64.1,47.8,360.0,914.0,1716.0,2286.0,3176.0,2540.0,48837.0,25.3,,17.7,640.0,,2060.0,3.0,5165.0,4985.0,1.0,3.0,180.0,3.5,95.0,194.0,41.0,174.0,-2.0,-60.0,-99.0,39.0,11805.0,8.0,16.4,3.5,-0.2,-8.4,3.3,0.0,3.0
logan,6.0,6.0,8.0,6.0,896.0,1408.0,1774.0,2365.0,344.0,763.0,2235.0,4008.0,4594.0,5763.0,6476.0,6652.0,7054.0,6511.0,5549.0,4532.0,3009.0,1629.0,3.4,6.3,5.1,7.3,16.7,22.0,25.65863321,30.00657462,34.7,38.4,42.75998679,43.73438527,41.9,30.2,19.86794322,10.71005917,6.8,9.4,11.71343678,15.54898093,22.0,32.9,69.5,53.5,521.0,889.0,2207.0,3301.0,3886.0,4564.0,51290.0,22.5,,16.6,1023.0,,3504.0,8.0,8270.0,7939.0,0.0,8.0,331.0,4.0,260.0,362.0,244.0,370.0,2.0,142.0,-102.0,246.0,21400.0,12.2,17.0,11.4,0.1,-4.8,11.5,-2.0,8.0
lonoke,2.0,2.0,2.0,4.0,2437.0,4874.0,7854.0,10554.0,593.0,1559.0,3726.0,6794.0,8617.0,11944.0,15392.0,18610.0,9052.0,9075.0,8028.0,7483.0,6073.0,4921.0,4.2,8.0,5.7,10.4,21.8,27.4,33.3416697,32.19748961,35.3,35.7,34.99454347,37.0193551,32.9,22.4,13.80729356,9.788943924,10.0,14.6,17.85649327,20.99421137,26.3,34.9,63.8,46.7,808.0,2023.0,5318.0,9167.0,14665.0,16186.0,74687.0,11.8,,9.6,2166.0,,7223.0,2.0,34884.0,33929.0,1.0,2.0,955.0,2.7,886.0,789.0,606.0,720.0,43.0,745.0,97.0,649.0,75944.0,11.7,10.4,8.0,0.6,1.3,8.6,-1.0,2.0
madison,2.0,2.0,2.0,4.0,623.0,938.0,1146.0,1536.0,225.0,440.0,968.0,2341.0,2635.0,3624.0,4481.0,6186.0,4200.0,3691.0,3053.0,3001.0,2685.0,1702.0,4.0,6.2,4.8,8.6,16.4,18.9,22.00431641,21.23035774,34.9,38.9,42.04748053,51.70511535,40.4,32.2,25.1947077,14.22601137,8.2,10.1,10.75349536,12.83851555,17.1,33.1,74.2,52.1,270.0,606.0,1242.0,1764.0,2345.0,2540.0,52262.0,20.5,,14.8,852.0,,2601.0,2.0,7918.0,7716.0,1.0,2.0,202.0,2.6,217.0,248.0,331.0,149.0,13.0,312.0,-31.0,344.0,17775.0,12.3,14.1,18.8,0.7,-1.8,19.5,-1.0,2.0
marion,9.0,10.0,9.0,9.0,695.0,1210.0,1671.0,2010.0,127.0,540.0,1236.0,2774.0,3093.0,4440.0,5069.0,4706.0,2973.0,3269.0,3099.0,2783.0,2061.0,1782.0,2.7,7.2,6.2,11.8,20.5,27.3,30.6516429,34.72616944,35.7,38.3,39.94169096,36.14716952,35.8,24.0,16.23985502,13.68768723,8.0,10.4,13.16681113,15.43897381,26.7,37.2,64.3,43.8,289.0,877.0,1776.0,3160.0,3890.0,4521.0,49975.0,26.0,,17.4,837.0,,3009.0,9.0,6050.0,5801.0,0.0,9.0,249.0,4.1,137.0,301.0,392.0,159.0,-2.0,225.0,-164.0,390.0,17514.0,7.9,17.3,22.5,-0.1,-9.4,22.4,-1.0,9.0
miller,3.0,2.0,3.0,4.0,2263.0,3228.0,3704.0,4633.0,981.0,1705.0,4911.0,7651.0,8118.0,9225.0,11441.0,11672.0,10932.0,9890.0,8607.0,6627.0,4598.0,3777.0,5.3,7.8,8.8,12.2,20.4,26.0,31.45505676,30.44231235,34.0,35.8,39.72155678,40.42811125,36.1,25.7,15.9636149,13.08233175,9.5,12.5,12.85977155,16.04724464,26.6,34.9,59.2,45.1,1630.0,2684.0,4858.0,6710.0,9060.0,8789.0,50421.0,27.3,,21.5,2659.0,,8806.0,3.0,18633.0,17955.0,1.0,3.0,678.0,3.6,356.0,573.0,52.0,1511.0,-29.0,-193.0,-217.0,23.0,42415.0,8.4,13.5,1.2,-0.7,-5.1,0.5,1.0,3.0
mississippi,4.0,3.0,4.0,5.0,3506.0,3571.0,3478.0,3676.0,1693.0,2721.0,6221.0,9086.0,9897.0,10151.0,11052.0,11010.0,21171.0,16741.0,13321.0,11148.0,6815.0,3731.0,5.5,8.6,5.5,9.4,19.8,21.3,26.62679179,28.96594284,29.7,32.1,37.99113128,42.46538358,40.0,35.3,23.42648929,14.39040383,10.5,11.3,11.95558764,14.17826976,20.2,28.8,68.8,53.1,1701.0,2955.0,6616.0,6742.0,7746.0,7510.0,49484.0,31.1,,24.9,3059.0,,9378.0,4.0,16776.0,15950.0,0.0,4.0,826.0,4.9,526.0,571.0,-173.0,840.0,17.0,-200.0,-45.0,-156.0,38663.0,13.6,14.7,-4.5,0.4,-1.2,-4.0,1.0,4.0
monroe,7.0,9.0,9.0,9.0,596.0,557.0,726.0,740.0,307.0,488.0,1414.0,2052.0,2224.0,2520.0,1996.0,1924.0,5972.0,4824.0,3341.0,2391.0,1500.0,784.0,3.8,6.1,4.6,8.1,13.2,17.2,25.00888099,27.13440406,31.4,38.2,35.45293073,40.65934066,47.1,36.2,26.64298401,16.56804734,8.4,8.4,12.89520426,15.63820795,17.5,25.6,74.0,60.2,374.0,650.0,933.0,1134.0,1408.0,1284.0,40631.0,38.1,,26.3,575.0,,1686.0,9.0,2465.0,2368.0,0.0,9.0,97.0,3.9,86.0,134.0,-8.0,79.0,0.0,-56.0,-48.0,-8.0,6512.0,13.1,20.5,-1.2,0.0,-7.3,-1.2,0.0,9.0
montgomery,8.0,7.0,8.0,6.0,379.0,571.0,742.0,1096.0,151.0,393.0,906.0,1645.0,1901.0,2537.0,2699.0,2404.0,2393.0,2656.0,2163.0,1950.0,1280.0,808.0,4.1,7.8,5.2,7.3,18.0,21.8,30.15238941,33.7841992,35.1,39.2,39.9319426,36.95050722,39.9,30.2,18.93771268,12.41930526,7.0,8.8,10.97795532,16.84598832,24.9,32.5,65.7,52.5,191.0,367.0,975.0,1406.0,2038.0,2198.0,48991.0,28.4,,18.8,453.0,,1600.0,8.0,2895.0,2753.0,0.0,8.0,142.0,4.9,80.0,162.0,163.0,118.0,-1.0,77.0,-82.0,162.0,8620.0,9.3,18.9,19.0,-0.1,-9.6,18.9,-3.0,8.0
nevada,7.0,9.0,9.0,9.0,640.0,704.0,689.0,654.0,251.0,450.0,1336.0,2276.0,2356.0,2580.0,2451.0,2734.0,4230.0,3489.0,2560.0,2033.0,1162.0,554.0,4.1,6.7,4.6,7.4,14.5,19.1,30.46710845,29.65738758,36.2,39.2,39.61532245,48.78658101,39.4,30.9,18.78131566,9.88579586,9.8,10.7,11.13625343,11.67023555,21.9,33.9,69.4,52.0,280.0,494.0,945.0,1258.0,1885.0,1662.0,45562.0,31.0,,23.2,544.0,,1844.0,9.0,3355.0,3232.0,0.0,9.0,123.0,3.7,75.0,121.0,-10.0,194.0,-2.0,-59.0,-46.0,-12.0,8120.0,9.2,14.8,-1.2,-0.2,-5.6,-1.5,-1.0,9.0
newton,9.0,8.0,9.0,7.0,336.0,687.0,747.0,745.0,82.0,321.0,664.0,1391.0,1860.0,2199.0,2444.0,2011.0,2452.0,2546.0,2064.0,1733.0,1160.0,761.0,2.4,6.9,5.1,8.4,13.6,20.6,27.24080268,32.71475033,37.7,37.8,40.86956522,38.47331165,41.9,29.8,19.39799331,14.55902047,6.8,11.8,12.4916388,14.25291754,19.7,29.9,72.8,54.7,171.0,393.0,669.0,1195.0,1629.0,1710.0,46307.0,27.1,,18.8,349.0,,1313.0,9.0,3191.0,3083.0,0.0,9.0,108.0,3.4,67.0,123.0,26.0,65.0,0.0,-30.0,-56.0,26.0,7071.0,9.5,17.4,3.7,0.0,-7.9,3.7,0.0,9.0
ouachita,7.0,8.0,7.0,7.0,2441.0,2415.0,2715.0,2364.0,918.0,1703.0,4567.0,6052.0,6375.0,6622.0,7127.0,6619.0,10773.0,8985.0,7038.0,5032.0,2649.0,1742.0,5.3,9.1,7.0,10.5,20.7,25.9,29.845549,31.51778303,31.9,34.9,40.028082,42.26422323,35.2,26.5,14.8778433,11.12317221,12.2,12.7,15.2485257,15.09482153,26.1,32.4,61.6,48.0,1225.0,1964.0,4145.0,4906.0,5314.0,4936.0,49690.0,25.3,,18.8,1206.0,,4018.0,7.0,9629.0,9257.0,0.0,7.0,372.0,3.9,247.0,370.0,-79.0,371.0,0.0,-201.0,-123.0,-79.0,21793.0,11.3,16.9,-3.6,0.0,-5.6,-3.6,1.0,7.0
perry,2.0,2.0,2.0,4.0,326.0,760.0,707.0,1240.0,112.0,243.0,684.0,1629.0,2127.0,2843.0,3213.0,3200.0,2344.0,2124.0,2031.0,1796.0,1309.0,601.0,3.4,5.6,3.9,8.3,14.2,21.3,27.9056942,30.35368886,40.7,41.4,44.2989108,44.21110804,38.9,26.2,18.0477044,8.303398729,6.2,11.1,9.747690611,17.13180437,20.9,37.4,71.8,48.8,126.0,360.0,742.0,1460.0,2024.0,2197.0,57996.0,20.9,,14.1,446.0,,1421.0,2.0,4301.0,4146.0,1.0,2.0,155.0,3.6,99.0,151.0,157.0,90.0,6.0,111.0,-52.0,163.0,10184.0,9.8,14.9,15.5,0.6,-5.1,16.1,0.0,2.0
phillips,6.0,3.0,7.0,8.0,1511.0,1906.0,1801.0,1516.0,1078.0,1525.0,3352.0,4242.0,3698.0,4080.0,4124.0,3505.0,14397.0,10701.0,7982.0,5831.0,3671.0,1811.0,5.5,8.3,4.5,10.3,19.9,23.4,29.52408931,34.50920245,22.4,26.5,30.28789659,33.59854294,48.5,37.8,26.96092832,17.36004601,9.2,12.4,13.22708578,14.53220859,17.0,23.1,73.0,58.3,895.0,1889.0,3283.0,3603.0,4020.0,3600.0,37338.0,45.2,,34.2,1699.0,,5057.0,7.0,5240.0,4900.0,0.0,7.0,340.0,6.5,208.0,278.0,-350.0,215.0,31.0,-389.0,-70.0,-319.0,14961.0,13.7,18.3,-23.1,2.0,-4.6,-21.0,0.0,7.0
