county,2013 rural-urban continuum code,2013 urban influence code,2023 rural-urban continuum code,2024 urban influence code,"bachelor's degree or higher, 1990","bachelor's degree or higher, 2000","bachelor's degree or higher, 2008-12","bachelor's degree or higher, 2019-23","four years of college or higher, 1970","four years of college or higher, 1980","high school diploma only, 1970","high school diploma only, 1980","high school graduate (or equivalency), 1990","high school graduate (or equivalency), 2000","high school graduate (or equivalency), 2008-12","high school graduate (or equivalency), 2019-23","less than a high school diploma, 1970","less than a high school diploma, 1980","less than high school graduate, 1990","less than high school graduate, 2000","less than high school graduate, 2008-12","less than high school graduate, 2019-23","percent of adults completing four years of college or higher, 1970","percent of adults completing four years of college or higher, 1980","percent of adults completing some college (1-3 years), 1970","percent of adults completing some college (1-3 years), 1980","percent of adults completing some college or associate degree, 1990","percent of adults completing some college or associate degree, 2000","percent of adults completing some college or associate degree, 2008-12","percent of adults completing some college or associate degree, 2019-23","percent of adults who are high school graduates (or equivalent), 1990","percent of adults who are high school graduates (or equivalent), 2000","percent of adults who are high school graduates (or equivalent), 2008-12","percent of adults who are high school graduates (or equivalent), 2019-23","percent of adults who are not high school graduates, 1990","percent of adults who are not high school graduates, 2000","percent of adults who are not high school graduates, 2008-12","percent of adults who are not high school graduates, 2019-23","percent of adults with a bachelor's degree or higher, 1990","percent of adults with a bachelor's degree or higher, 2000","percent of adults with a bachelor's degree or higher, 2008-12","percent of adults with a bachelor's degree or higher, 2019-23","percent of adults with a high school diploma only, 1970","percent of adults with a high school diploma only, 1980","percent of adults with less than a high school diploma, 1970","percent of adults with less than a high school diploma, 1980","some college (1-3 years), 1970","some college (1-3 years), 1980","some college or associate degree, 1990","some college or associate degree, 2000","some college or associate degree, 2008-12","some college or associate degree, 2019-23",medhhinc_2023,pctpov017_2023,pctpov04_2023,pctpovall_2023,pov017_2023,pov04_2023,povall_2023,rural_urban_continuum_code_2023_x,civilian_labor_force_2023,employed_2023,metro_2023,rural_urban_continuum_code_2023_y,unemployed_2023,unemployment_rate_2023,births_2023,deaths_2023,domestic_mig_2023,gq_estimates_2023,international_mig_2023,n_pop_chg_2023,natural_chg_2023,net_mig_2023,pop_estimate_2023,r_birth_2023,r_death_2023,r_domestic_mig_2023,r_international_mig_2023,r_natural_chg_2023,r_net_mig_2023,residual_2023,rural_urban_continuum_code_2023
clay,7.0,9.0,9.0,9.0,645.0,900.0,1118.0,1604.0,331.0,623.0,1962.0,3604.0,3927.0,4603.0,4889.0,4573.0,8834.0,8133.0,6482.0,4796.0,2630.0,1371.0,2.9,4.7,3.4,5.8,11.2,15.4,23.21301565,26.49006623,31.5,37.8,43.46550498,44.53642384,52.1,39.4,23.38193457,13.35216206,5.2,7.4,9.939544808,15.62134788,17.0,27.5,76.7,62.0,390.0,756.0,1396.0,1876.0,2611.0,2720.0,47663.0,22.3,,17.5,667.0,,2454.0,9.0,5381.0,5159.0,0.0,9.0,222.0,4.1,157.0,242.0,17.0,151.0,-2.0,-70.0,-85.0,15.0,14201.0,11.0,17.0,1.2,-0.1,-6.0,1.1,0.0,9.0
cleburne,6.0,6.0,6.0,6.0,1295.0,2402.0,3212.0,3417.0,227.0,796.0,1240.0,3438.0,4763.0,6290.0,7237.0,7377.0,4829.0,5564.0,5394.0,4362.0,3130.0,2194.0,3.4,7.2,4.5,11.1,17.3,24.5,28.46003899,30.5565952,34.4,36.4,38.12760129,39.44287013,39.0,25.2,16.49017438,11.73073838,9.4,13.9,16.92218534,18.26979629,18.8,31.2,73.3,50.5,294.0,1224.0,2396.0,4245.0,5402.0,5715.0,56692.0,20.6,,13.5,964.0,,3387.0,6.0,8996.0,8642.0,0.0,6.0,354.0,3.9,223.0,427.0,399.0,259.0,-3.0,192.0,-204.0,396.0,25445.0,8.8,16.8,15.7,-0.1,-8.0,15.6,0.0,6.0
cleveland,3.0,2.0,8.0,5.0,393.0,565.0,838.0,873.0,85.0,286.0,1007.0,1598.0,1996.0,2454.0,2660.0,2405.0,2659.0,2598.0,2011.0,1524.0,873.0,449.0,2.2,6.0,2.4,6.1,12.3,19.7,25.3968254,30.63465476,39.8,43.4,45.40023895,44.76084124,40.1,26.9,14.90015361,8.356597804,7.8,10.0,14.30278204,16.2479062,26.2,33.5,69.2,54.4,94.0,291.0,617.0,1116.0,1488.0,1646.0,54458.0,20.8,,15.7,325.0,,1147.0,8.0,3054.0,2948.0,0.0,8.0,106.0,3.5,82.0,129.0,-41.0,72.0,1.0,-89.0,-47.0,-40.0,7378.0,11.0,17.4,-5.5,0.1,-6.3,-5.4,-2.0,8.0
columbia,7.0,8.0,7.0,7.0,2103.0,2694.0,2927.0,2871.0,853.0,1526.0,3518.0,4935.0,5058.0,5742.0,5650.0,5718.0,8639.0,7367.0,5754.0,4161.0,2384.0,1625.0,6.0,9.8,8.0,10.9,19.8,21.5,28.65790159,27.48828624,31.4,35.8,36.77427753,40.59349709,35.7,25.9,15.5167925,11.53627715,13.1,16.8,19.05102838,20.38193951,24.9,31.8,61.1,47.4,1138.0,1698.0,3187.0,3442.0,4403.0,3872.0,44175.0,27.8,,23.3,1294.0,,4704.0,7.0,8764.0,8388.0,0.0,7.0,376.0,4.3,256.0,298.0,-114.0,1902.0,20.0,-136.0,-42.0,-94.0,22150.0,11.5,13.4,-5.1,0.9,-1.9,-4.2,0.0,7.0
conway,6.0,6.0,6.0,6.0,1207.0,1555.0,2061.0,2648.0,432.0,873.0,2556.0,4030.0,4983.0,5579.0,6167.0,6335.0,5819.0,5604.0,4373.0,3617.0,2431.0,1439.0,4.6,7.6,5.5,7.9,14.2,20.2,25.44589774,28.50380737,40.5,41.4,43.13492341,43.45887357,35.5,26.8,17.00356718,9.871715717,9.8,11.5,14.41561167,18.16560335,27.4,35.3,62.5,49.1,509.0,906.0,1754.0,2729.0,3638.0,4155.0,53863.0,23.0,,17.1,1070.0,,3566.0,6.0,8314.0,8001.0,0.0,6.0,313.0,3.8,228.0,298.0,98.0,171.0,26.0,56.0,-70.0,124.0,21077.0,10.8,14.2,4.7,1.2,-3.3,5.9,2.0,6.0
craighead,3.0,2.0,3.0,4.0,6879.0,10624.0,14340.0,19912.0,2415.0,4691.0,6179.0,10388.0,12582.0,16615.0,20756.0,23207.0,16609.0,16279.0,13660.0,11515.0,9252.0,6989.0,8.8,13.3,7.7,11.3,21.2,23.6,26.62475182,30.12605979,29.9,32.8,34.3414957,32.36139,32.5,22.7,15.30774322,9.745928157,16.4,20.9,23.72600927,27.76662204,22.6,29.4,60.8,46.0,2103.0,4012.0,8910.0,11971.0,16092.0,21604.0,60204.0,23.1,,16.1,6519.0,,17811.0,3.0,57392.0,55816.0,1.0,3.0,1576.0,2.7,1540.0,1091.0,617.0,3181.0,61.0,1130.0,449.0,678.0,113993.0,13.6,9.6,5.4,0.5,4.0,6.0,3.0,3.0
crawford,2.0,2.0,3.0,4.0,2001.0,3276.0,5368.0,7988.0,525.0,1085.0,3775.0,7744.0,8937.0,12153.0,14706.0,15022.0,9143.0,10100.0,9572.0,9628.0,7574.0,5532.0,3.6,5.1,6.5,11.1,22.4,25.8,31.3161425,31.02964986,33.8,36.0,36.53301535,36.29992992,36.2,28.5,18.81552144,13.36780804,7.6,9.7,13.33532071,19.30261218,26.2,36.4,63.6,47.5,941.0,2353.0,5904.0,8708.0,12606.0,12841.0,63905.0,18.3,,13.3,2666.0,,8147.0,3.0,26514.0,25622.0,1.0,3.0,892.0,3.4,727.0,779.0,752.0,673.0,151.0,850.0,-52.0,903.0,61891.0,11.8,12.7,12.2,2.5,-0.8,14.7,-1.0,3.0
crittenden,1.0,1.0,1.0,1.0,2849.0,3863.0,4552.0,5233.0,1027.0,1864.0,4744.0,7451.0,9005.0,10024.0,10870.0,11493.0,15595.0,13778.0,12344.0,9326.0,6674.0,4477.0,4.5,7.3,5.8,9.7,16.9,23.3,29.3312438,30.32891927,30.9,33.1,34.76508779,37.76492623,42.4,30.8,21.34518822,14.7110045,9.8,12.8,14.55848019,17.19515,20.9,29.1,68.8,53.8,1315.0,2493.0,4909.0,7038.0,9171.0,9230.0,52153.0,29.3,,20.6,3674.0,,9578.0,1.0,20358.0,19500.0,1.0,1.0,858.0,4.2,570.0,620.0,106.0,586.0,32.0,88.0,-50.0,138.0,47139.0,12.1,13.2,2.3,0.7,-1.1,2.9,0.0,1.0
cross,6.0,4.0,6.0,3.0,933.0,1225.0,1437.0,1700.0,377.0,824.0,1969.0,3214.0,3886.0,4738.0,5613.0,4831.0,7237.0,6274.0,5130.0,3930.0,2408.0,1901.0,3.8,7.4,4.1,7.1,14.4,20.3,21.35373358,26.42233857,33.4,38.2,46.67387327,42.15532286,44.2,31.7,20.02328289,16.58813264,8.0,9.9,11.94911026,14.83420593,19.7,28.9,72.4,56.5,411.0,794.0,1670.0,2519.0,2568.0,3028.0,47669.0,25.4,,19.1,970.0,,3091.0,6.0,6816.0,6584.0,0.0,6.0,232.0,3.4,183.0,265.0,-120.0,145.0,30.0,-170.0,-82.0,-90.0,16420.0,11.1,16.1,-7.3,1.8,-5.0,-5.5,2.0,6.0
dallas,6.0,6.0,8.0,6.0,559.0,576.0,560.0,512.0,270.0,562.0,1305.0,2152.0,2465.0,2464.0,2801.0,2225.0,3992.0,3064.0,2603.0,1986.0,1057.0,505.0,4.6,8.8,5.1,9.4,11.7,16.1,19.83306115,29.50641444,38.7,41.1,50.82562148,48.38008263,40.8,33.2,19.17982217,10.98064797,8.8,9.6,10.16149519,11.13285497,22.2,33.8,68.0,48.1,302.0,598.0,749.0,963.0,1093.0,1357.0,46701.0,26.9,,19.6,316.0,,1162.0,8.0,2647.0,2543.0,0.0,8.0,104.0,3.9,57.0,120.0,54.0,232.0,-1.0,-11.0,-63.0,53.0,6185.0,9.2,19.4,8.7,-0.2,-10.2,8.6,-1.0,8.0
