ClusterLabel,BachelorsDegreePct_Norm,HighSchoolGradPct_Norm,PovertyRate_Norm,UnemploymentRate_Norm,EducationGap_Norm
0,0.156,0.168,0.291,0.303,0.15
1,0.52,0.695,0.377,0.307,0.698
2,0.289,0.389,0.593,0.657,0.391
