County,Value
baxter,0.044
cleburne,0.072
fulton,0.127
independence,0.044
izard,0.132
jackson,0.079
marion,0.088
searcy,0.175
sharp,0.066
stone,0.121
van buren,0.098
white,0.025
woodruff,0.266
