county,births_2022,deaths_2022,domestic_mig_2022,gq_estimates_2022,international_mig_2022,n_pop_chg_2022,natural_chg_2022,net_mig_2022,pop_estimate_2022,r_birth_2022,r_death_2022,r_domestic_mig_2022,r_international_mig_2022,r_natural_chg_2022,r_net_mig_2022,residual_2022,civilian_labor_force_2022,employed_2022,med_hh_income_percent_of_state_total_2022,median_household_income_2022,unemployed_2022,unemployment_rate_2022,state
archer county,85.0,112.0,167.0,56.0,6.0,147.0,-27.0,173.0,8849.0,9.7,12.8,19.0,0.7,-3.1,19.7,1.0,,,,,,,
"archer county, tx",,,,,,,,,,,,,,,,,4013.0,3877.0,99.7,72062.0,136.0,3.4,
archuleta county,102.0,142.0,202.0,97.0,8.0,183.0,-40.0,210.0,13989.0,7.3,10.2,14.5,0.6,-2.9,15.1,13.0,,,,,,,
"archuleta county, co",,,,,,,,,,,,,,,,,6880.0,6659.0,74.1,66025.0,221.0,3.2,
arecibo municipio,,,,,,,,,86035.0,,,,,,,,,,,,,,
"arecibo municipio, pr",,,,,,,,,,,,,,,,,26002.0,24272.0,,,1730.0,6.7,
arenac county,146.0,254.0,215.0,172.0,0.0,107.0,-108.0,215.0,15123.0,9.7,16.9,14.3,0.0,-7.2,14.3,0.0,,,,,,,
"arenac county, mi",,,,,,,,,,,,,,,,,5784.0,5365.0,80.1,53615.0,419.0,7.2,
arkansas county,184.0,328.0,-38.0,322.0,-1.0,-189.0,-144.0,-39.0,16498.0,11.1,19.8,-2.3,-0.1,-8.7,-2.4,-6.0,,,,,,,
"arkansas county, ar",,,,,,,,,,,,,,,,,9199.0,8904.0,93.9,52145.0,295.0,3.2,
arlington county,2526.0,1018.0,-3675.0,2848.0,2397.0,242.0,1508.0,-1278.0,233678.0,10.8,4.4,-15.7,10.3,6.5,-5.5,12.0,,,,,,,
"arlington county, va",,,,,,,,,,,,,,,,,156767.0,153622.0,152.6,131020.0,3145.0,2.0,
armstrong county,538.0,1078.0,60.0,676.0,11.0,-508.0,-540.0,71.0,64704.0,8.3,16.6,0.9,0.2,-8.3,1.1,-39.0,,,,,,,
"armstrong county, pa",,,,,,,,,,,,,,,,,31006.0,29478.0,80.2,57609.0,1528.0,4.9,
"armstrong county, tx",,,,,,,,,,,,,,,,,934.0,908.0,93.5,67548.0,26.0,2.8,
aroostook county,645.0,1146.0,701.0,1592.0,42.0,247.0,-501.0,743.0,67322.0,9.6,17.1,10.4,0.6,-7.5,11.1,5.0,,,,,,,
"aroostook county, me",,,,,,,,,,,,,,,,,28769.0,27631.0,74.2,51562.0,1138.0,4.0,
arroyo municipio,,,,,,,,,15275.0,,,,,,,,,,,,,,
"arroyo municipio, pr",,,,,,,,,,,,,,,,,4879.0,4464.0,,,415.0,8.5,
arthur county,5.0,5.0,-4.0,0.0,0.0,-7.0,0.0,-4.0,425.0,11.7,11.7,-9.3,0.0,0.0,-9.3,-3.0,,,,,,,
"arthur county, ne",,,,,,,,,,,,,,,,,232.0,227.0,81.7,57018.0,5.0,2.2,
ascension parish,1658.0,1028.0,1250.0,618.0,61.0,1914.0,630.0,1311.0,130485.0,12.8,7.9,9.7,0.5,4.9,10.1,-27.0,,,,,,,
"ascension parish, la",,,,,,,,,,,,,,,,,66620.0,64655.0,146.6,81284.0,1965.0,2.9,
ashe county,207.0,448.0,516.0,433.0,11.0,305.0,-241.0,527.0,27062.0,7.7,16.6,19.2,0.4,-9.0,19.6,19.0,,,,,,,
"ashe county, nc",,,,,,,,,,,,,,,,,12885.0,12444.0,80.5,54379.0,441.0,3.4,
ashland county,574.0,739.0,21.0,1367.0,16.0,-159.0,-165.0,37.0,52024.0,11.0,14.2,0.4,0.3,-3.2,0.7,-31.0,,,,,,,
"ashland county, oh",,,,,,,,,,,,,,,,,25920.0,24922.0,94.3,62037.0,998.0,3.9,
"ashland county, wi",,,,,,,,,,,,,,,,,7500.0,7206.0,80.0,56848.0,294.0,3.9,
ashley county,205.0,327.0,-178.0,154.0,-2.0,-306.0,-122.0,-180.0,18348.0,11.1,17.7,-9.6,-0.1,-6.6,-9.7,-4.0,,,,,,,
"ashley county, ar",,,,,,,,,,,,,,,,,6658.0,6299.0,85.1,47253.0,359.0,5.4,
ashtabula county,1059.0,1526.0,38.0,3527.0,11.0,-479.0,-467.0,49.0,96960.0,10.9,15.7,0.4,0.1,-4.8,0.5,-61.0,,,,,,,
"ashtabula county, oh",,,,,,,,,,,,,,,,,42858.0,40967.0,79.8,52468.0,1891.0,4.4,
asotin county,234.0,306.0,133.0,231.0,7.0,67.0,-72.0,140.0,22536.0,10.4,13.6,5.9,0.3,-3.2,6.2,-1.0,,,,,,,
"asotin county, wa",,,,,,,,,,,,,,,,,10559.0,10165.0,71.9,65625.0,394.0,3.7,
assumption parish,210.0,326.0,-109.0,161.0,1.0,-233.0,-116.0,-108.0,20463.0,10.2,15.8,-5.3,0.0,-5.6,-5.2,-9.0,,,,,,,
"assumption parish, la",,,,,,,,,,,,,,,,,8734.0,8333.0,98.1,54403.0,401.0,4.6,
atascosa county,612.0,625.0,931.0,312.0,-20.0,919.0,-13.0,911.0,50736.0,12.2,12.4,18.5,-0.4,-0.3,18.1,21.0,,,,,,,
"atascosa county, tx",,,,,,,,,,,,,,,,,22505.0,21586.0,82.8,59817.0,919.0,4.1,
atchison county,175.0,227.0,-135.0,1692.0,3.0,-183.0,-52.0,-132.0,16053.0,10.8,14.1,-8.4,0.2,-3.2,-8.2,1.0,,,,,,,
"atchison county, ks",,,,,,,,,,,,,,,,,6789.0,6555.0,85.8,59085.0,234.0,3.4,
"atchison county, mo",,,,,,,,,,,,,,,,,2536.0,2474.0,89.3,57883.0,62.0,2.4,
athens county,462.0,664.0,1582.0,6889.0,266.0,1785.0,-202.0,1848.0,60881.0,7.7,11.1,26.4,4.4,-3.4,30.8,139.0,,,,,,,
