county,births_2022,deaths_2022,domestic_mig_2022,gq_estimates_2022,international_mig_2022,n_pop_chg_2022,natural_chg_2022,net_mig_2022,pop_estimate_2022,r_birth_2022,r_death_2022,r_domestic_mig_2022,r_international_mig_2022,r_natural_chg_2022,r_net_mig_2022,residual_2022,civilian_labor_force_2022,employed_2022,med_hh_income_percent_of_state_total_2022,median_household_income_2022,unemployed_2022,unemployment_rate_2022,state
"chautauqua county, ny",,,,,,,,,,,,,,,,,52852.0,50751.0,70.0,55644.0,2101.0,4.0,
chaves county,747.0,860.0,-798.0,2112.0,143.0,-758.0,-113.0,-655.0,63892.0,11.6,13.4,-12.4,2.2,-1.8,-10.2,10.0,,,,,,,
"chaves county, nm",,,,,,,,,,,,,,,,,27534.0,26348.0,80.0,47855.0,1186.0,4.3,
cheatham county,490.0,578.0,330.0,331.0,30.0,266.0,-88.0,360.0,41764.0,11.8,13.9,7.9,0.7,-2.1,8.6,-6.0,,,,,,,
"cheatham county, tn",,,,,,,,,,,,,,,,,22668.0,22064.0,120.2,78437.0,604.0,2.7,
cheboygan county,209.0,447.0,424.0,292.0,10.0,210.0,-238.0,434.0,25964.0,8.1,17.3,16.4,0.4,-9.2,16.8,14.0,,,,,,,
"cheboygan county, mi",,,,,,,,,,,,,,,,,10374.0,9534.0,90.9,60849.0,840.0,8.1,
chelan county,795.0,879.0,158.0,1642.0,224.0,260.0,-84.0,382.0,80038.0,9.9,11.0,2.0,2.8,-1.1,4.8,-38.0,,,,,,,
"chelan county, wa",,,,,,,,,,,,,,,,,44353.0,42316.0,89.5,81697.0,2037.0,4.6,
chemung county,818.0,1129.0,-1233.0,3075.0,97.0,-1398.0,-311.0,-1136.0,81641.0,9.9,13.7,-15.0,1.2,-3.8,-13.8,49.0,,,,,,,
"chemung county, ny",,,,,,,,,,,,,,,,,34610.0,33313.0,71.3,56664.0,1297.0,3.7,
chenango county,474.0,697.0,14.0,790.0,2.0,-238.0,-223.0,16.0,46331.0,10.2,15.0,0.3,0.0,-4.8,0.3,-31.0,,,,,,,
"chenango county, ny",,,,,,,,,,,,,,,,,21798.0,21068.0,76.5,60755.0,730.0,3.3,
cherokee county,238.0,456.0,476.0,278.0,14.0,279.0,-218.0,490.0,25353.0,9.4,18.1,18.9,0.6,-8.6,19.4,7.0,,,,,,,
"cherokee county, al",,,,,,,,,,,,,,,,,11723.0,11457.0,88.1,52613.0,266.0,2.3,
"cherokee county, ga",,,,,,,,,,,,,,,,,142420.0,138955.0,137.4,99932.0,3465.0,2.4,
"cherokee county, ia",,,,,,,,,,,,,,,,,6112.0,5968.0,94.7,65985.0,144.0,2.4,
"cherokee county, ks",,,,,,,,,,,,,,,,,9905.0,9650.0,79.9,54965.0,255.0,2.6,
"cherokee county, nc",,,,,,,,,,,,,,,,,11100.0,10648.0,76.4,51607.0,452.0,4.1,
"cherokee county, ok",,,,,,,,,,,,,,,,,20325.0,19602.0,82.8,49403.0,723.0,3.6,
"cherokee county, sc",,,,,,,,,,,,,,,,,24177.0,23188.0,78.5,50403.0,989.0,4.1,
"cherokee county, tx",,,,,,,,,,,,,,,,,20689.0,19767.0,69.7,50351.0,922.0,4.5,
cherry county,79.0,63.0,26.0,11.0,0.0,38.0,16.0,26.0,5485.0,14.5,11.5,4.8,0.0,2.9,4.8,-4.0,,,,,,,
"cherry county, ne",,,,,,,,,,,,,,,,,3395.0,3339.0,83.1,58017.0,56.0,1.6,
chesapeake city,2990.0,2402.0,-252.0,4012.0,478.0,696.0,588.0,226.0,252459.0,11.9,9.5,-1.0,1.9,2.3,0.9,-118.0,,,,,,,
"chesapeake city, va",,,,,,,,,,,,,,,,,124115.0,120590.0,101.5,87127.0,3525.0,2.8,
cheshire county,684.0,900.0,738.0,3559.0,89.0,617.0,-216.0,827.0,77463.0,8.9,11.7,9.6,1.2,-2.8,10.7,6.0,,,,,,,
"cheshire county, nh",,,,,,,,,,,,,,,,,39128.0,38171.0,84.0,76227.0,957.0,2.4,
chester county,5711.0,4404.0,3511.0,15020.0,1088.0,5699.0,1307.0,4599.0,546638.0,10.5,8.1,6.5,2.0,2.4,8.5,-207.0,,,,,,,
"chester county, pa",,,,,,,,,,,,,,,,,294834.0,286041.0,163.4,117326.0,8793.0,3.0,
"chester county, sc",,,,,,,,,,,,,,,,,13429.0,12865.0,83.3,53488.0,564.0,4.2,
"chester county, tn",,,,,,,,,,,,,,,,,8542.0,8287.0,88.5,57732.0,255.0,3.0,
chesterfield county,507.0,638.0,467.0,752.0,69.0,404.0,-131.0,536.0,43741.0,11.6,14.7,10.7,1.6,-3.0,12.3,-1.0,,,,,,,
"chesterfield county, sc",,,,,,,,,,,,,,,,,21493.0,20740.0,69.4,44574.0,753.0,3.5,
"chesterfield county, va",,,,,,,,,,,,,,,,,193562.0,188326.0,116.7,100149.0,5236.0,2.7,
cheyenne county,14.0,26.0,15.0,24.0,10.0,12.0,-12.0,25.0,1731.0,8.1,15.1,8.7,5.8,-7.0,14.5,-1.0,,,,,,,
"cheyenne county, co",,,,,,,,,,,,,,,,,1043.0,1023.0,70.6,62891.0,20.0,1.9,
"cheyenne county, ks",,,,,,,,,,,,,,,,,1259.0,1229.0,82.1,56500.0,30.0,2.4,
"cheyenne county, ne",,,,,,,,,,,,,,,,,4228.0,4130.0,81.1,56604.0,98.0,2.3,
chickasaw county,134.0,158.0,-158.0,207.0,26.0,-155.0,-24.0,-132.0,11728.0,11.4,13.4,-13.4,2.2,-2.0,-11.2,1.0,,,,,,,
"chickasaw county, ia",,,,,,,,,,,,,,,,,6545.0,6375.0,106.3,74077.0,170.0,2.6,
"chickasaw county, ms",,,,,,,,,,,,,,,,,6561.0,6270.0,82.9,43776.0,291.0,4.4,
chicot county,91.0,182.0,-127.0,690.0,-1.0,-218.0,-91.0,-128.0,9834.0,9.2,18.3,-12.8,-0.1,-9.2,-12.9,1.0,,,,,,,
"chicot county, ar",,,,,,,,,,,,,,,,,2971.0,2792.0,68.9,38217.0,179.0,6.0,
childress county,65.0,84.0,66.0,1297.0,10.0,54.0,-19.0,76.0,6841.0,9.5,12.3,9.7,1.5,-2.8,11.2,-3.0,,,,,,,
"childress county, tx",,,,,,,,,,,,,,,,,3185.0,3094.0,68.1,49200.0,91.0,2.9,
chilton county,540.0,643.0,656.0,388.0,26.0,589.0,-103.0,682.0,45848.0,11.9,14.1,14.4,0.6,-2.3,15.0,10.0,,,,,,,
"chilton county, al",,,,,,,,,,,,,,,,,20180.0,19732.0,103.6,61823.0,448.0,2.2,
chippewa county,288.0,462.0,478.0,4188.0,35.0,358.0,-174.0,513.0,36207.0,8.0,12.8,13.3,1.0,-4.8,14.2,19.0,,,,,,,
"chippewa county, mi",,,,,,,,,,,,,,,,,15983.0,14985.0,88.0,58924.0,998.0,6.2,
"chippewa county, mn",,,,,,,,,,,,,,,,,6460.0,6310.0,75.1,61878.0,150.0,2.3,
"chippewa county, wi",,,,,,,,,,,,,,,,,33577.0,32452.0,104.8,74425.0,1125.0,3.4,
chisago county,599.0,562.0,329.0,1527.0,20.0,349.0,37.0,349.0,57898.0,10.4,9.7,5.7,0.3,0.6,6.0,-37.0,,,,,,,
"chisago county, mn",,,,,,,,,,,,,,,,,29835.0,28957.0,119.2,98183.0,878.0,2.9,
chittenden county,1417.0,1378.0,-581.0,9899.0,633.0,19.0,39.0,52.0,169357.0,8.4,8.1,-3.4,3.7,0.2,0.3,-72.0,,,,,,,
"chittenden county, vt",,,,,,,,,,,,,,,,,97567.0,95805.0,116.1,86579.0,1762.0,1.8,
choctaw county,141.0,213.0,-41.0,66.0,2.0,-117.0,-72.0,-39.0,12431.0,11.3,17.1,-3.3,0.2,-5.8,-3.1,-6.0,,,,,,,
"choctaw county, al",,,,,,,,,,,,,,,,,4325.0,4164.0,74.5,44458.0,161.0,3.7,
"choctaw county, ms",,,,,,,,,,,,,,,,,3569.0,3441.0,93.3,49225.0,128.0,3.6,
"choctaw county, ok",,,,,,,,,,,,,,,,,6021.0,5738.0,70.4,41999.0,283.0,4.7,
chouteau county,34.0,70.0,18.0,45.0,10.0,-13.0,-36.0,28.0,5908.0,5.7,11.8,3.0,1.7,-6.1,4.7,-5.0,,,,,,,
"chouteau county, mt",,,,,,,,,,,,,,,,,2452.0,2394.0,75.3,51137.0,58.0,2.4,
chowan county,140.0,244.0,241.0,273.0,-2.0,137.0,-104.0,239.0,13898.0,10.1,17.6,17.4,-0.1,-7.5,17.3,2.0,,,,,,,
"chowan county, nc",,,,,,,,,,,,,,,,,5798.0,5563.0,82.7,55818.0,235.0,4.1,
christian county,291.0,486.0,-105.0,2909.0,-1.0,-313.0,-195.0,-106.0,33390.0,8.7,14.5,-3.1,0.0,-5.8,-3.2,-12.0,,,,,,,
"christian county, il",,,,,,,,,,,,,,,,,13396.0,12755.0,74.1,56888.0,641.0,4.8,
"christian county, ky",,,,,,,,,,,,,,,,,24674.0,23451.0,95.6,56610.0,1223.0,5.0,
"christian county, mo",,,,,,,,,,,,,,,,,47079.0,46084.0,113.6,73616.0,995.0,2.1,
chugach census area,74.0,50.0,-117.0,273.0,18.0,-72.0,24.0,-99.0,6899.0,10.7,7.2,-16.9,2.6,3.5,-14.3,3.0,,,,,,,
"chugach census area, ak",,,,,,,,,,,,,,,,,3380.0,3280.0,103.7,91356.0,100.0,3.0,
churchill county,284.0,398.0,244.0,385.0,-1.0,134.0,-114.0,243.0,25798.0,11.0,15.5,9.5,0.0,-4.4,9.4,5.0,,,,,,,
"churchill county, nv",,,,,,,,,,,,,,,,,10951.0,10571.0,97.0,70149.0,380.0,3.5,
ciales municipio,,,,,,,,,16727.0,,,,,,,,,,,,,,
"ciales municipio, pr",,,,,,,,,,,,,,,,,3955.0,3616.0,,,339.0,8.6,
cibola county,227.0,379.0,-194.0,2243.0,33.0,-314.0,-152.0,-161.0,26871.0,8.4,14.0,-7.2,1.2,-5.6,-6.0,-1.0,,,,,,,
"cibola county, nm",,,,,,,,,,,,,,,,,8215.0,7762.0,76.3,45674.0,453.0,5.5,
cidra municipio,,,,,,,,,39487.0,,,,,,,,,,,,,,
"cidra municipio, pr",,,,,,,,,,,,,,,,,16774.0,15991.0,,,783.0,4.7,
cimarron county,23.0,31.0,-4.0,4.0,0.0,-14.0,-8.0,-4.0,2233.0,10.3,13.8,-1.8,0.0,-3.6,-1.8,-2.0,,,,,,,
"cimarron county, ok",,,,,,,,,,,,,,,,,1603.0,1580.0,85.4,50900.0,23.0,1.4,
citrus county,1026.0,3561.0,6452.0,2843.0,63.0,4341.0,-2535.0,6515.0,162508.0,6.4,22.2,40.2,0.4,-15.8,40.6,361.0,,,,,,,
"citrus county, fl",,,,,,,,,,,,,,,,,49070.0,46969.0,75.8,52534.0,2101.0,4.3,
clackamas county,3757.0,4195.0,-472.0,3922.0,430.0,-686.0,-438.0,-42.0,423118.0,8.9,9.9,-1.1,1.0,-1.0,-0.1,-206.0,,,,,,,
"clackamas county, or",,,,,,,,,,,,,,,,,225320.0,217242.0,128.1,96915.0,8078.0,3.6,
claiborne county,105.0,133.0,-90.0,1055.0,9.0,-111.0,-28.0,-81.0,8775.0,11.9,15.1,-10.2,1.0,-3.2,-9.2,-2.0,,,,,,,
"claiborne county, ms",,,,,,,,,,,,,,,,,2914.0,2682.0,67.4,35591.0,232.0,8.0,
"claiborne county, tn",,,,,,,,,,,,,,,,,12884.0,12392.0,63.0,41087.0,492.0,3.8,
claiborne parish,140.0,205.0,-131.0,1798.0,0.0,-194.0,-65.0,-131.0,13849.0,10.0,14.7,-9.4,0.0,-4.7,-9.4,2.0,,,,,,,
"claiborne parish, la",,,,,,,,,,,,,,,,,5387.0,5182.0,68.1,37788.0,205.0,3.8,
clallam county,554.0,1313.0,-57.0,1368.0,86.0,-782.0,-759.0,29.0,77684.0,7.1,16.8,-0.7,1.1,-9.7,0.4,-52.0,,,,,,,
"clallam county, wa",,,,,,,,,,,,,,,,,28911.0,27267.0,73.1,66693.0,1644.0,5.7,
clare county,308.0,573.0,423.0,342.0,2.0,176.0,-265.0,425.0,31307.0,9.9,18.4,13.5,0.1,-8.5,13.6,16.0,,,,,,,
"clare county, mi",,,,,,,,,,,,,,,,,11416.0,10648.0,71.7,47973.0,768.0,6.7,
clarendon county,290.0,569.0,230.0,1336.0,18.0,-34.0,-279.0,248.0,30927.0,9.4,18.4,7.4,0.6,-9.0,8.0,-3.0,,,,,,,
"clarendon county, sc",,,,,,,,,,,,,,,,,12028.0,11541.0,71.9,46202.0,487.0,4.0,
clarion county,352.0,613.0,-118.0,2182.0,22.0,-367.0,-261.0,-96.0,37227.0,9.4,16.4,-3.2,0.6,-7.0,-2.6,-10.0,,,,,,,
"clarion county, pa",,,,,,,,,,,,,,,,,16129.0,15351.0,80.6,57844.0,778.0,4.8,
clark county,239.0,302.0,103.0,2765.0,4.0,32.0,-63.0,107.0,21276.0,11.2,14.2,4.8,0.2,-3.0,5.0,-12.0,,,,,,,
"clark county, ar",,,,,,,,,,,,,,,,,8436.0,8066.0,91.0,50519.0,370.0,4.4,
"clark county, id",,,,,,,,,,,,,,,,,481.0,466.0,73.5,53366.0,15.0,3.1,
"clark county, il",,,,,,,,,,,,,,,,,7290.0,6971.0,82.9,63655.0,319.0,4.4,
"clark county, in",,,,,,,,,,,,,,,,,62544.0,60809.0,102.6,68493.0,1735.0,2.8,
"clark county, ks",,,,,,,,,,,,,,,,,1109.0,1088.0,85.6,58914.0,21.0,1.9,
"clark county, ky",,,,,,,,,,,,,,,,,17156.0,16527.0,104.0,61641.0,629.0,3.7,
"clark county, mo",,,,,,,,,,,,,,,,,2964.0,2866.0,97.6,63249.0,98.0,3.3,
"clark county, nv",,,,,,,,,,,,,,,,,1150663.0,1083926.0,97.9,70838.0,66737.0,5.8,
"clark county, oh",,,,,,,,,,,,,,,,,62666.0,60100.0,87.0,57264.0,2566.0,4.1,
"clark county, sd",,,,,,,,,,,,,,,,,1953.0,1910.0,88.6,62559.0,43.0,2.2,
"clark county, wa",,,,,,,,,,,,,,,,,246694.0,235641.0,99.9,91149.0,11053.0,4.5,
"clark county, wi",,,,,,,,,,,,,,,,,17651.0,17184.0,89.6,63641.0,467.0,2.6,
clarke county,289.0,390.0,-58.0,372.0,0.0,-166.0,-101.0,-58.0,22574.0,12.8,17.2,-2.6,0.0,-4.5,-2.6,-7.0,,,,,,,
"clarke county, al",,,,,,,,,,,,,,,,,7676.0,7302.0,75.2,44906.0,374.0,4.9,
"clarke county, ga",,,,,,,,,,,,,,,,,57972.0,55998.0,68.5,49832.0,1974.0,3.4,
"clarke county, ia",,,,,,,,,,,,,,,,,4958.0,4809.0,93.4,65129.0,149.0,3.0,
"clarke county, ms",,,,,,,,,,,,,,,,,5585.0,5328.0,88.1,46524.0,257.0,4.6,
"clarke county, va",,,,,,,,,,,,,,,,,7670.0,7481.0,124.6,106914.0,189.0,2.5,
clatsop county,323.0,554.0,-63.0,509.0,38.0,-280.0,-231.0,-25.0,41652.0,7.7,13.3,-1.5,0.9,-5.5,-0.6,-24.0,,,,,,,
"clatsop county, or",,,,,,,,,,,,,,,,,19531.0,18743.0,84.2,63667.0,788.0,4.0,
clay county,154.0,235.0,103.0,258.0,-3.0,13.0,-81.0,100.0,14183.0,10.9,16.6,7.3,-0.2,-5.7,7.1,-6.0,,,,,,,
"clay county, al",,,,,,,,,,,,,,,,,6106.0,5971.0,83.1,49599.0,135.0,2.2,
"clay county, ar",,,,,,,,,,,,,,,,,5400.0,5191.0,84.4,46855.0,209.0,3.9,
"clay county, fl",,,,,,,,,,,,,,,,,112112.0,109041.0,121.8,84364.0,3071.0,2.7,
"clay county, ga",,,,,,,,,,,,,,,,,828.0,771.0,52.2,37961.0,57.0,6.9,
"clay county, ia",,,,,,,,,,,,,,,,,8538.0,8301.0,98.3,68542.0,237.0,2.8,
"clay county, il",,,,,,,,,,,,,,,,,5696.0,5417.0,72.0,55282.0,279.0,4.9,
"clay county, in",,,,,,,,,,,,,,,,,11570.0,11175.0,88.5,59057.0,395.0,3.4,
"clay county, ks",,,,,,,,,,,,,,,,,3735.0,3639.0,85.8,59021.0,96.0,2.6,
"clay county, ky",,,,,,,,,,,,,,,,,5034.0,4742.0,58.2,34473.0,292.0,5.8,
"clay county, mn",,,,,,,,,,,,,,,,,37560.0,36788.0,96.4,79357.0,772.0,2.1,
"clay county, mo",,,,,,,,,,,,,,,,,137802.0,134241.0,121.8,78930.0,3561.0,2.6,
"clay county, ms",,,,,,,,,,,,,,,,,8670.0,8322.0,82.3,43451.0,348.0,4.0,
"clay county, nc",,,,,,,,,,,,,,,,,4190.0,4022.0,85.5,57698.0,168.0,4.0,
"clay county, ne",,,,,,,,,,,,,,,,,3103.0,3035.0,92.0,64251.0,68.0,2.2,
"clay county, sd",,,,,,,,,,,,,,,,,7345.0,7191.0,78.3,55263.0,154.0,2.1,
"clay county, tn",,,,,,,,,,,,,,,,,2780.0,2651.0,66.6,43441.0,129.0,4.6,
"clay county, tx",,,,,,,,,,,,,,,,,4868.0,4678.0,91.4,66085.0,190.0,3.9,
"clay county, wv",,,,,,,,,,,,,,,,,3001.0,2826.0,78.8,42604.0,175.0,5.8,
clayton county,3895.0,2615.0,-2734.0,5171.0,717.0,-811.0,1280.0,-2017.0,298399.0,13.0,8.8,-9.1,2.4,4.3,-6.8,-74.0,,,,,,,
"clayton county, ga",,,,,,,,,,,,,,,,,139968.0,134296.0,79.2,57625.0,5672.0,4.1,
"clayton county, ia",,,,,,,,,,,,,,,,,9546.0,9171.0,92.5,64486.0,375.0,3.9,
clear creek county,67.0,71.0,-80.0,83.0,2.0,-90.0,-4.0,-78.0,9367.0,7.1,7.5,-8.5,0.2,-0.4,-8.3,-8.0,,,,,,,
"clear creek county, co",,,,,,,,,,,,,,,,,6143.0,5961.0,101.4,90350.0,182.0,3.0,
clearfield county,683.0,1244.0,73.0,4011.0,28.0,-511.0,-561.0,101.0,77824.0,8.7,15.9,0.9,0.4,-7.2,1.3,-51.0,,,,,,,
"clearfield county, pa",,,,,,,,,,,,,,,,,35419.0,33663.0,82.6,59318.0,1756.0,5.0,
clearwater county,69.0,139.0,175.0,707.0,5.0,110.0,-70.0,180.0,9035.0,7.7,15.5,19.5,0.6,-7.8,20.0,0.0,,,,,,,
"clearwater county, id",,,,,,,,,,,,,,,,,3404.0,3231.0,78.6,57081.0,173.0,5.1,
"clearwater county, mn",,,,,,,,,,,,,,,,,4487.0,4204.0,78.6,64716.0,283.0,6.3,
cleburne county,183.0,242.0,267.0,174.0,-1.0,216.0,-59.0,266.0,15372.0,12.0,15.9,17.5,-0.1,-3.9,17.4,9.0,,,,,,,
"cleburne county, al",,,,,,,,,,,,,,,,,6133.0,5989.0,82.5,49248.0,144.0,2.3,
"cleburne county, ar",,,,,,,,,,,,,,,,,8909.0,8543.0,94.9,52662.0,366.0,4.1,
clermont county,2212.0,2488.0,961.0,2109.0,210.0,786.0,-276.0,1171.0,210679.0,10.5,11.8,4.6,1.0,-1.3,5.6,-109.0,,,,,,,
"clermont county, oh",,,,,,,,,,,,,,,,,107937.0,104095.0,120.8,79492.0,3842.0,3.6,
cleveland county,81.0,135.0,36.0,72.0,1.0,-19.0,-54.0,37.0,7467.0,10.8,18.1,4.8,0.1,-7.2,4.9,-2.0,,,,,,,
"cleveland county, ar",,,,,,,,,,,,,,,,,3069.0,2954.0,100.1,55533.0,115.0,3.7,
"cleveland county, nc",,,,,,,,,,,,,,,,,49037.0,47129.0,78.8,53170.0,1908.0,3.9,
"cleveland county, ok",,,,,,,,,,,,,,,,,149727.0,145867.0,118.9,70923.0,3860.0,2.6,
clinch county,92.0,96.0,-18.0,163.0,4.0,-23.0,-4.0,-14.0,6679.0,13.8,14.3,-2.7,0.6,-0.6,-2.1,-5.0,,,,,,,
"clinch county, ga",,,,,,,,,,,,,,,,,3034.0,2948.0,62.7,45595.0,86.0,2.8,
clinton county,396.0,371.0,23.0,1757.0,28.0,55.0,25.0,51.0,36937.0,10.7,10.1,0.6,0.8,0.7,1.4,-21.0,,,,,,,
"clinton county, ia",,,,,,,,,,,,,,,,,22148.0,21352.0,87.7,61136.0,796.0,3.6,
"clinton county, il",,,,,,,,,,,,,,,,,19860.0,19245.0,103.7,79612.0,615.0,3.1,
"clinton county, in",,,,,,,,,,,,,,,,,17091.0,16647.0,91.2,60916.0,444.0,2.6,
"clinton county, ky",,,,,,,,,,,,,,,,,3611.0,3432.0,70.5,41739.0,179.0,5.0,
"clinton county, mi",,,,,,,,,,,,,,,,,40317.0,38788.0,119.9,80212.0,1529.0,3.8,
"clinton county, mo",,,,,,,,,,,,,,,,,10548.0,10239.0,105.5,68337.0,309.0,2.9,
"clinton county, ny",,,,,,,,,,,,,,,,,35509.0,34304.0,82.1,65272.0,1205.0,3.4,
"clinton county, oh",,,,,,,,,,,,,,,,,17867.0,17086.0,100.2,65927.0,781.0,4.4,
"clinton county, pa",,,,,,,,,,,,,,,,,17051.0,16205.0,82.0,58892.0,846.0,5.0,
cloud county,106.0,163.0,35.0,551.0,8.0,-20.0,-57.0,43.0,8934.0,11.9,18.2,3.9,0.9,-6.4,4.8,-6.0,,,,,,,
"cloud county, ks",,,,,,,,,,,,,,,,,3810.0,3709.0,76.3,52483.0,101.0,2.7,
coahoma county,305.0,392.0,-476.0,555.0,65.0,-486.0,-87.0,-411.0,20235.0,14.9,19.1,-23.2,3.2,-4.2,-20.1,12.0,,,,,,,
"coahoma county, ms",,,,,,,,,,,,,,,,,7582.0,7168.0,68.3,36071.0,414.0,5.5,
coal county,67.0,99.0,18.0,47.0,2.0,-13.0,-32.0,20.0,5291.0,12.6,18.7,3.4,0.4,-6.0,3.8,-1.0,,,,,,,
"coal county, ok",,,,,,,,,,,,,,,,,2352.0,2274.0,73.9,44040.0,78.0,3.3,
coamo municipio,,,,,,,,,33876.0,,,,,,,,,,,,,,
"coamo municipio, pr",,,,,,,,,,,,,,,,,11044.0,10245.0,,,799.0,7.2,
cobb county,8758.0,5594.0,-937.0,10078.0,3432.0,5178.0,3164.0,2495.0,771840.0,11.4,7.3,-1.2,4.5,4.1,3.2,-481.0,,,,,,,
"cobb county, ga",,,,,,,,,,,,,,,,,430506.0,419024.0,133.1,96798.0,11482.0,2.7,
cochise county,1249.0,1795.0,-331.0,4129.0,260.0,-632.0,-546.0,-71.0,125487.0,9.9,14.3,-2.6,2.1,-4.3,-0.6,-15.0,,,,,,,
"cochise county, az",,,,,,,,,,,,,,,,,48730.0,46597.0,74.3,55254.0,2133.0,4.4,
cochran county,49.0,47.0,23.0,8.0,18.0,42.0,2.0,41.0,2522.0,19.6,18.8,9.2,7.2,0.8,16.4,-1.0,,,,,,,
"cochran county, tx",,,,,,,,,,,,,,,,,1154.0,1099.0,63.3,45766.0,55.0,4.8,
cocke county,373.0,746.0,818.0,222.0,6.0,485.0,-373.0,824.0,36849.0,10.2,20.4,22.3,0.2,-10.2,22.5,34.0,,,,,,,
"cocke county, tn",,,,,,,,,,,,,,,,,14685.0,13932.0,69.5,45361.0,753.0,5.1,
coconino county,1323.0,1126.0,811.0,10756.0,286.0,1326.0,197.0,1097.0,144223.0,9.2,7.8,5.6,2.0,1.4,7.6,32.0,,,,,,,
"coconino county, az",,,,,,,,,,,,,,,,,73616.0,70437.0,86.1,64016.0,3179.0,4.3,
codington county,325.0,284.0,197.0,498.0,19.0,252.0,41.0,216.0,28736.0,11.4,9.9,6.9,0.7,1.4,7.5,-5.0,,,,,,,
"codington county, sd",,,,,,,,,,,,,,,,,15970.0,15659.0,92.1,65009.0,311.0,1.9,
coffee county,673.0,691.0,602.0,702.0,57.0,641.0,-18.0,659.0,54840.0,12.3,12.7,11.0,1.0,-0.3,12.1,0.0,,,,,,,
"coffee county, al",,,,,,,,,,,,,,,,,21624.0,21090.0,104.6,62429.0,534.0,2.5,
"coffee county, ga",,,,,,,,,,,,,,,,,18560.0,17875.0,67.1,48792.0,685.0,3.7,
"coffee county, tn",,,,,,,,,,,,,,,,,25174.0,24324.0,86.6,56519.0,850.0,3.4,
coffey county,71.0,115.0,-49.0,110.0,8.0,-85.0,-44.0,-41.0,8252.0,8.6,13.9,-5.9,1.0,-5.3,-4.9,0.0,,,,,,,
"coffey county, ks",,,,,,,,,,,,,,,,,3792.0,3663.0,100.4,69100.0,129.0,3.4,
coke county,36.0,69.0,51.0,72.0,0.0,18.0,-33.0,51.0,3322.0,10.9,20.8,15.4,0.0,-10.0,15.4,0.0,,,,,,,
"coke county, tx",,,,,,,,,,,,,,,,,1546.0,1492.0,60.6,43774.0,54.0,3.5,
colbert county,633.0,891.0,590.0,407.0,11.0,349.0,-258.0,601.0,57993.0,10.9,15.4,10.2,0.2,-4.5,10.4,6.0,,,,,,,
"colbert county, al",,,,,,,,,,,,,,,,,23749.0,23047.0,91.4,54593.0,702.0,3.0,
cole county,814.0,815.0,281.0,4181.0,113.0,353.0,-1.0,394.0,76956.0,10.6,10.6,3.7,1.5,0.0,5.1,-40.0,,,,,,,
"cole county, mo",,,,,,,,,,,,,,,,,38856.0,38065.0,109.3,70837.0,791.0,2.0,
coleman county,89.0,213.0,218.0,33.0,-2.0,100.0,-124.0,216.0,7822.0,11.5,27.4,28.0,-0.3,-16.0,27.8,8.0,,,,,,,
"coleman county, tx",,,,,,,,,,,,,,,,,3056.0,2922.0,63.4,45834.0,134.0,4.4,
coles county,453.0,606.0,-349.0,2705.0,46.0,-456.0,-153.0,-303.0,46346.0,9.7,13.0,-7.5,1.0,-3.3,-6.5,0.0,,,,,,,
"coles county, il",,,,,,,,,,,,,,,,,22640.0,21639.0,75.2,57712.0,1001.0,4.4,
colfax county,159.0,69.0,-253.0,48.0,135.0,-24.0,90.0,-118.0,10453.0,15.2,6.6,-24.2,12.9,8.6,-11.3,4.0,,,,,,,
"colfax county, ne",,,,,,,,,,,,,,,,,5755.0,5650.0,99.6,69549.0,105.0,1.8,
"colfax county, nm",,,,,,,,,,,,,,,,,5335.0,5125.0,83.5,49966.0,210.0,3.9,
colleton county,458.0,738.0,341.0,416.0,53.0,121.0,-280.0,394.0,38580.0,11.9,19.2,8.9,1.4,-7.3,10.2,7.0,,,,,,,
"colleton county, sc",,,,,,,,,,,,,,,,,15883.0,15332.0,74.6,47933.0,551.0,3.5,
collier county,3355.0,4641.0,8969.0,4937.0,2231.0,10290.0,-1286.0,11200.0,397516.0,8.6,11.8,22.9,5.7,-3.3,28.5,376.0,,,,,,,
"collier county, fl",,,,,,,,,,,,,,,,,186959.0,181535.0,118.1,81821.0,5424.0,2.9,
collin county,12548.0,6022.0,29755.0,9063.0,7203.0,44334.0,6526.0,36958.0,1158995.0,11.0,5.3,26.2,6.3,5.7,32.5,850.0,,,,,,,
"collin county, tx",,,,,,,,,,,,,,,,,625800.0,605672.0,157.6,113943.0,20128.0,3.2,
collingsworth county,34.0,42.0,-13.0,9.0,-1.0,-22.0,-8.0,-14.0,2585.0,13.1,16.2,-5.0,-0.4,-3.1,-5.4,0.0,,,,,,,
"collingsworth county, tx",,,,,,,,,,,,,,,,,1088.0,1050.0,72.1,52093.0,38.0,3.5,
colonial heights city,271.0,323.0,103.0,194.0,11.0,53.0,-52.0,114.0,18278.0,14.8,17.7,5.6,0.6,-2.8,6.2,-9.0,,,,,,,
"colonial heights city, va",,,,,,,,,,,,,,,,,8532.0,8264.0,79.8,68456.0,268.0,3.1,
colorado county,286.0,345.0,204.0,418.0,47.0,190.0,-59.0,251.0,20832.0,13.8,16.6,9.8,2.3,-2.8,12.1,-2.0,,,,,,,
"colorado county, tx",,,,,,,,,,,,,,,,,10232.0,9868.0,82.6,59711.0,364.0,3.6,
colquitt county,622.0,630.0,-70.0,955.0,175.0,67.0,-8.0,105.0,45830.0,13.6,13.8,-1.5,3.8,-0.2,2.3,-30.0,,,,,,,
