ClusterLabel,BachelorsDegreePct,HighSchoolGradPct,PovertyRate,UnemploymentRate,EducationGap,Population,VulnerabilityScore
0,0.11,0.25,22.45,5.1,0.15,15476.5,2.0
1,0.13,0.37,19.06,3.97,0.23,12926.57,1.29
2,0.05,0.1,14.68,3.6,0.05,46273.0,2.0
