county,BachelorsDegreePct,HighSchoolGradPct,PovertyRate,UnemploymentRate,Population,EducationGap,BachelorsDegreePct_Norm,HighSchoolGradPct_Norm,PovertyRate_Norm,UnemploymentRate_Norm,Population_Norm,EducationGap_Norm
baxter,0.04372860522448979,0.0808134216909621,16.0,3.6,42875.0,0.03708481646647231,0.07664239681667445,0.040225523164763924,0.22522522522522515,0.11764705882352944,0.5092015230107052,0.021963637154228867
cleburne,0.07180112513263902,0.15501226225191592,13.5,3.9,25445.0,0.0832111371192769,0.1930273460541912,0.14296551223537513,0.0,0.2941176470588234,0.26874793069197656,0.1178611193812234
fulton,0.12657035786168586,0.32874133435311165,17.5,3.8,12421.0,0.2021709764914258,0.4200933305758531,0.3835207936115243,0.36036036036036023,0.23529411764705888,0.08907681271382849,0.36518084747714175
independence,0.04402670305323591,0.10283872327766178,13.5,3.4,38320.0,0.058812020224425866,0.0778782709305747,0.0707230245702677,0.0,0.0,0.4463635360335504,0.0671348996076965
izard,0.1320500272425718,0.2515462390429811,20.3,5.1,14169.0,0.11949621180040931,0.44281131402797824,0.27663201760764156,0.6126126126126126,1.0,0.11319114887981459,0.19329846740927373
jackson,0.07897956684938036,0.2558500020853194,24.6,5.1,16784.0,0.17687043523593904,0.22278821460254283,0.28259125584626466,0.9999999999999998,1.0,0.1492660854210352,0.3125805496202204
marion,0.08815218573712459,0.20639014228617103,17.4,4.1,17514.0,0.11823795654904644,0.26081667756625765,0.21410628469602083,0.3513513513513511,0.4117647058823528,0.15933671780156716,0.1906825312388422
searcy,0.17536011068408913,0.4674038574173712,20.2,4.3,7806.0,0.2920437467332821,0.6223691834072195,0.5755209110853582,0.6036036036036034,0.5294117647058822,0.025411102527314863,0.5520280155361695
sharp,0.06638733414959928,0.22574312438780053,19.7,3.9,17968.0,0.15935579023820123,0.17058248571371648,0.2409035385961239,0.5585585585585584,0.2941176470588234,0.16559982341904866,0.2761672755152858
stone,0.12140266885013022,0.29469936603267305,17.7,4.1,12671.0,0.1732966971825428,0.3986687764121002,0.33638432319308414,0.3783783783783783,0.4117647058823528,0.0925256594194901,0.30515068145364554
van buren,0.09776123844628917,0.27322077462520133,16.5,4.0,16142.0,0.17545953617891216,0.3006545373464228,0.30664382819649494,0.2702702702702702,0.3529411764705883,0.14040944708089614,0.30964726412659216
white,0.025242149505430075,0.05176254085300566,15.7,3.5,78452.0,0.026520391347575587,0.0,0.0,0.19819819819819795,0.05882352941176494,0.9999999999999999,0.0
woodruff,0.26644618913480883,0.7739627399396378,24.4,3.6,5964.0,0.5075165508048289,1.0,1.0,0.9819819819819815,0.11764705882352944,0.0,1.0
